Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6344
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6529
Round 6: training_avg_loss=0.1145, training_avg_wrong_conf=0.6422
Round 7: training_avg_loss=0.0601, training_avg_wrong_conf=0.6709
Round 8: training_avg_loss=0.0656, training_avg_wrong_conf=0.6764
Round 9: training_avg_loss=0.0513, training_avg_wrong_conf=0.6887
Round 10: training_avg_loss=0.0498, training_avg_wrong_conf=0.6828
Round 11: training_avg_loss=0.0464, training_avg_wrong_conf=0.6992
Round 12: training_avg_loss=0.0533, training_avg_wrong_conf=0.6869
Round 13: training_avg_loss=0.0415, training_avg_wrong_conf=0.7126
Round 14: training_avg_loss=0.0405, training_avg_wrong_conf=0.7167
Round 15: training_avg_loss=0.0415, training_avg_wrong_conf=0.7206
Round 16: training_avg_loss=0.0483, training_avg_wrong_conf=0.7064
Round 17: training_avg_loss=0.0338, training_avg_wrong_conf=0.7234
Round 18: training_avg_loss=0.0363, training_avg_wrong_conf=0.7250
Round 19: training_avg_loss=0.0321, training_avg_wrong_conf=0.7317
Round 20: training_avg_loss=0.0379, training_avg_wrong_conf=0.7160
Round 21: training_avg_loss=0.0296, training_avg_wrong_conf=0.7364
Round 22: training_avg_loss=0.0316, training_avg_wrong_conf=0.7436
Round 23: training_avg_loss=0.0277, training_avg_wrong_conf=0.7399
Round 24: training_avg_loss=0.0315, training_avg_wrong_conf=0.7244
Round 25: training_avg_loss=0.0269, training_avg_wrong_conf=0.7455
Round 26: training_avg_loss=0.0252, training_avg_wrong_conf=0.7504
Round 27: training_avg_loss=0.0262, training_avg_wrong_conf=0.7467
Round 28: training_avg_loss=0.0290, training_avg_wrong_conf=0.7291
Round 29: training_avg_loss=0.0239, training_avg_wrong_conf=0.7519
Round 30: training_avg_loss=0.0223, training_avg_wrong_conf=0.7501
Round 31: training_avg_loss=0.0233, training_avg_wrong_conf=0.7524
Round 32: training_avg_loss=0.0226, training_avg_wrong_conf=0.7489
Round 33: training_avg_loss=0.0224, training_avg_wrong_conf=0.7559
Round 34: training_avg_loss=0.0247, training_avg_wrong_conf=0.7410
Round 35: training_avg_loss=0.0213, training_avg_wrong_conf=0.7610
Round 36: training_avg_loss=0.0205, training_avg_wrong_conf=0.7527
Round 37: training_avg_loss=0.0211, training_avg_wrong_conf=0.7591
Round 38: training_avg_loss=0.0234, training_avg_wrong_conf=0.7495
Round 39: training_avg_loss=0.0200, training_avg_wrong_conf=0.7620
Round 40: training_avg_loss=0.0199, training_avg_wrong_conf=0.7657
Round 41: training_avg_loss=0.0202, training_avg_wrong_conf=0.7597
Round 42: training_avg_loss=0.0203, training_avg_wrong_conf=0.7500
Round 43: training_avg_loss=0.0189, training_avg_wrong_conf=0.7660
Round 44: training_avg_loss=0.0204, training_avg_wrong_conf=0.7675
Round 45: training_avg_loss=0.0189, training_avg_wrong_conf=0.7649
Round 46: training_avg_loss=0.0203, training_avg_wrong_conf=0.7516
Round 47: training_avg_loss=0.0181, training_avg_wrong_conf=0.7753
Round 48: training_avg_loss=0.0193, training_avg_wrong_conf=0.7564
Round 49: training_avg_loss=0.0180, training_avg_wrong_conf=0.7754
Round 50: training_avg_loss=0.0183, training_avg_wrong_conf=0.7645
Round 51: training_avg_loss=0.0174, training_avg_wrong_conf=0.7791
Round 52: training_avg_loss=0.0202, training_avg_wrong_conf=0.7731
Round 53: training_avg_loss=0.0167, training_avg_wrong_conf=0.7734
Round 54: training_avg_loss=0.0184, training_avg_wrong_conf=0.7672
