Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6345
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6530
Round 6: training_avg_loss=0.1145, training_avg_wrong_conf=0.6422
Round 7: training_avg_loss=0.0783, training_avg_wrong_conf=0.6534
Round 8: training_avg_loss=0.0566, training_avg_wrong_conf=0.6873
Round 9: training_avg_loss=0.0518, training_avg_wrong_conf=0.6936
Round 10: training_avg_loss=0.0489, training_avg_wrong_conf=0.6969
Round 11: training_avg_loss=0.0463, training_avg_wrong_conf=0.6997
Round 12: training_avg_loss=0.0440, training_avg_wrong_conf=0.7039
Round 13: training_avg_loss=0.0419, training_avg_wrong_conf=0.7069
Round 14: training_avg_loss=0.0400, training_avg_wrong_conf=0.7083
Round 15: training_avg_loss=0.0382, training_avg_wrong_conf=0.7135
Round 16: training_avg_loss=0.0366, training_avg_wrong_conf=0.7160
Round 17: training_avg_loss=0.0352, training_avg_wrong_conf=0.7190
Round 18: training_avg_loss=0.0338, training_avg_wrong_conf=0.7217
Round 19: training_avg_loss=0.0326, training_avg_wrong_conf=0.7237
Round 20: training_avg_loss=0.0315, training_avg_wrong_conf=0.7240
Round 21: training_avg_loss=0.0304, training_avg_wrong_conf=0.7268
Round 22: training_avg_loss=0.0295, training_avg_wrong_conf=0.7287
Round 23: training_avg_loss=0.0286, training_avg_wrong_conf=0.7321
Round 24: training_avg_loss=0.0277, training_avg_wrong_conf=0.7331
Round 25: training_avg_loss=0.0269, training_avg_wrong_conf=0.7347
Round 26: training_avg_loss=0.0262, training_avg_wrong_conf=0.7383
Round 27: training_avg_loss=0.0255, training_avg_wrong_conf=0.7383
Round 28: training_avg_loss=0.0249, training_avg_wrong_conf=0.7399
Round 29: training_avg_loss=0.0243, training_avg_wrong_conf=0.7406
Round 30: training_avg_loss=0.0238, training_avg_wrong_conf=0.7412
Round 31: training_avg_loss=0.0233, training_avg_wrong_conf=0.7417
Round 32: training_avg_loss=0.0228, training_avg_wrong_conf=0.7431
Round 33: training_avg_loss=0.0223, training_avg_wrong_conf=0.7450
Round 34: training_avg_loss=0.0218, training_avg_wrong_conf=0.7451
Round 35: training_avg_loss=0.0214, training_avg_wrong_conf=0.7484
Round 36: training_avg_loss=0.0210, training_avg_wrong_conf=0.7509
Round 37: training_avg_loss=0.0207, training_avg_wrong_conf=0.7536
Round 38: training_avg_loss=0.0203, training_avg_wrong_conf=0.7547
Round 39: training_avg_loss=0.0200, training_avg_wrong_conf=0.7543
Round 40: training_avg_loss=0.0197, training_avg_wrong_conf=0.7560
Round 41: training_avg_loss=0.0194, training_avg_wrong_conf=0.7576
Round 42: training_avg_loss=0.0191, training_avg_wrong_conf=0.7579
Round 43: training_avg_loss=0.0188, training_avg_wrong_conf=0.7565
Round 44: training_avg_loss=0.0186, training_avg_wrong_conf=0.7577
Round 45: training_avg_loss=0.0183, training_avg_wrong_conf=0.7598
Round 46: training_avg_loss=0.0181, training_avg_wrong_conf=0.7615
Round 47: training_avg_loss=0.0178, training_avg_wrong_conf=0.7632
Round 48: training_avg_loss=0.0176, training_avg_wrong_conf=0.7657
Round 49: training_avg_loss=0.0174, training_avg_wrong_conf=0.7667
Round 50: training_avg_loss=0.0172, training_avg_wrong_conf=0.7692
Round 51: training_avg_loss=0.0170, training_avg_wrong_conf=0.7693
Round 52: training_avg_loss=0.0168, training_avg_wrong_conf=0.7700
Round 53: training_avg_loss=0.0166, training_avg_wrong_conf=0.7714
Round 54: training_avg_loss=0.0165, training_avg_wrong_conf=0.7704
