Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6345
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6530
Round 6: training_avg_loss=0.1135, training_avg_wrong_conf=0.6446
Round 7: training_avg_loss=0.0767, training_avg_wrong_conf=0.6577
Round 8: training_avg_loss=0.0674, training_avg_wrong_conf=0.6739
Round 9: training_avg_loss=0.0605, training_avg_wrong_conf=0.6833
Round 10: training_avg_loss=0.0551, training_avg_wrong_conf=0.6922
Round 11: training_avg_loss=0.0459, training_avg_wrong_conf=0.7111
Round 12: training_avg_loss=0.0425, training_avg_wrong_conf=0.7158
Round 13: training_avg_loss=0.0403, training_avg_wrong_conf=0.7166
Round 14: training_avg_loss=0.0385, training_avg_wrong_conf=0.7165
Round 15: training_avg_loss=0.0368, training_avg_wrong_conf=0.7197
Round 16: training_avg_loss=0.0354, training_avg_wrong_conf=0.7218
Round 17: training_avg_loss=0.0340, training_avg_wrong_conf=0.7228
Round 18: training_avg_loss=0.0328, training_avg_wrong_conf=0.7245
Round 19: training_avg_loss=0.0317, training_avg_wrong_conf=0.7268
Round 20: training_avg_loss=0.0307, training_avg_wrong_conf=0.7313
Round 21: training_avg_loss=0.0297, training_avg_wrong_conf=0.7322
Round 22: training_avg_loss=0.0289, training_avg_wrong_conf=0.7339
Round 23: training_avg_loss=0.0280, training_avg_wrong_conf=0.7366
Round 24: training_avg_loss=0.0273, training_avg_wrong_conf=0.7397
Round 25: training_avg_loss=0.0266, training_avg_wrong_conf=0.7427
Round 26: training_avg_loss=0.0259, training_avg_wrong_conf=0.7419
Round 27: training_avg_loss=0.0253, training_avg_wrong_conf=0.7423
Round 28: training_avg_loss=0.0246, training_avg_wrong_conf=0.7416
Round 29: training_avg_loss=0.0241, training_avg_wrong_conf=0.7435
Round 30: training_avg_loss=0.0236, training_avg_wrong_conf=0.7449
Round 31: training_avg_loss=0.0231, training_avg_wrong_conf=0.7466
Round 32: training_avg_loss=0.0226, training_avg_wrong_conf=0.7472
Round 33: training_avg_loss=0.0221, training_avg_wrong_conf=0.7480
Round 34: training_avg_loss=0.0217, training_avg_wrong_conf=0.7485
Round 35: training_avg_loss=0.0213, training_avg_wrong_conf=0.7493
Round 36: training_avg_loss=0.0209, training_avg_wrong_conf=0.7506
Round 37: training_avg_loss=0.0205, training_avg_wrong_conf=0.7505
Round 38: training_avg_loss=0.0202, training_avg_wrong_conf=0.7529
Round 39: training_avg_loss=0.0199, training_avg_wrong_conf=0.7562
Round 40: training_avg_loss=0.0196, training_avg_wrong_conf=0.7561
Round 41: training_avg_loss=0.0193, training_avg_wrong_conf=0.7562
Round 42: training_avg_loss=0.0190, training_avg_wrong_conf=0.7570
Round 43: training_avg_loss=0.0187, training_avg_wrong_conf=0.7578
Round 44: training_avg_loss=0.0184, training_avg_wrong_conf=0.7588
Round 45: training_avg_loss=0.0182, training_avg_wrong_conf=0.7598
Round 46: training_avg_loss=0.0180, training_avg_wrong_conf=0.7594
Round 47: training_avg_loss=0.0177, training_avg_wrong_conf=0.7600
Round 48: training_avg_loss=0.0175, training_avg_wrong_conf=0.7616
Round 49: training_avg_loss=0.0173, training_avg_wrong_conf=0.7620
Round 50: training_avg_loss=0.0171, training_avg_wrong_conf=0.7618
Round 51: training_avg_loss=0.0169, training_avg_wrong_conf=0.7621
Round 52: training_avg_loss=0.0167, training_avg_wrong_conf=0.7641
Round 53: training_avg_loss=0.0166, training_avg_wrong_conf=0.7647
Round 54: training_avg_loss=0.0164, training_avg_wrong_conf=0.7662
