Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6344
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6529
Round 6: training_avg_loss=0.0853, training_avg_wrong_conf=0.6582
Round 7: training_avg_loss=0.0661, training_avg_wrong_conf=0.6732
Round 8: training_avg_loss=0.0604, training_avg_wrong_conf=0.6793
Round 9: training_avg_loss=0.0571, training_avg_wrong_conf=0.6885
Round 10: training_avg_loss=0.0569, training_avg_wrong_conf=0.6818
Round 11: training_avg_loss=0.0481, training_avg_wrong_conf=0.6956
Round 12: training_avg_loss=0.0432, training_avg_wrong_conf=0.7020
Round 13: training_avg_loss=0.0437, training_avg_wrong_conf=0.6996
Round 14: training_avg_loss=0.0382, training_avg_wrong_conf=0.7014
Round 15: training_avg_loss=0.0409, training_avg_wrong_conf=0.7050
Round 16: training_avg_loss=0.0406, training_avg_wrong_conf=0.7045
Round 17: training_avg_loss=0.0351, training_avg_wrong_conf=0.7091
Round 18: training_avg_loss=0.0294, training_avg_wrong_conf=0.7253
Round 19: training_avg_loss=0.0354, training_avg_wrong_conf=0.7179
Round 20: training_avg_loss=0.0317, training_avg_wrong_conf=0.7150
Round 21: training_avg_loss=0.0306, training_avg_wrong_conf=0.7218
Round 22: training_avg_loss=0.0259, training_avg_wrong_conf=0.7250
Round 23: training_avg_loss=0.0310, training_avg_wrong_conf=0.7250
Round 24: training_avg_loss=0.0227, training_avg_wrong_conf=0.7150
Round 25: training_avg_loss=0.0304, training_avg_wrong_conf=0.7310
Round 26: training_avg_loss=0.0258, training_avg_wrong_conf=0.7085
Round 27: training_avg_loss=0.0269, training_avg_wrong_conf=0.7326
Round 28: training_avg_loss=0.0180, training_avg_wrong_conf=0.7181
Round 29: training_avg_loss=0.0279, training_avg_wrong_conf=0.7368
Round 30: training_avg_loss=0.0264, training_avg_wrong_conf=0.6950
Round 31: training_avg_loss=0.0237, training_avg_wrong_conf=0.7387
Round 32: training_avg_loss=0.0165, training_avg_wrong_conf=0.7266
Round 33: training_avg_loss=0.0237, training_avg_wrong_conf=0.7428
Round 34: training_avg_loss=0.0147, training_avg_wrong_conf=0.7312
Round 35: training_avg_loss=0.0251, training_avg_wrong_conf=0.7500
Round 36: training_avg_loss=0.0244, training_avg_wrong_conf=0.7198
Round 37: training_avg_loss=0.0217, training_avg_wrong_conf=0.7485
Round 38: training_avg_loss=0.0102, training_avg_wrong_conf=0.7442
Round 39: training_avg_loss=0.0268, training_avg_wrong_conf=0.7544
Round 40: training_avg_loss=0.0205, training_avg_wrong_conf=0.7132
Round 41: training_avg_loss=0.0204, training_avg_wrong_conf=0.7470
Round 42: training_avg_loss=0.0119, training_avg_wrong_conf=0.7498
Round 43: training_avg_loss=0.0251, training_avg_wrong_conf=0.7573
Round 44: training_avg_loss=0.0189, training_avg_wrong_conf=0.7096
Round 45: training_avg_loss=0.0197, training_avg_wrong_conf=0.7533
Round 46: training_avg_loss=0.0129, training_avg_wrong_conf=0.7160
Round 47: training_avg_loss=0.0203, training_avg_wrong_conf=0.7506
Round 48: training_avg_loss=0.0218, training_avg_wrong_conf=0.7255
Round 49: training_avg_loss=0.0181, training_avg_wrong_conf=0.7539
Round 50: training_avg_loss=0.0125, training_avg_wrong_conf=0.7267
Round 51: training_avg_loss=0.0205, training_avg_wrong_conf=0.7614
Round 52: training_avg_loss=0.0081, training_avg_wrong_conf=0.7699
Round 53: training_avg_loss=0.0252, training_avg_wrong_conf=0.7618
Round 54: training_avg_loss=0.0159, training_avg_wrong_conf=0.7439
