Round 1: loss=1.6854, metrics={'accuracy': 0.5662430434421464}
Round 2: loss=1.3013, metrics={'accuracy': 0.6139214220450203}
Round 3: loss=1.1418, metrics={'accuracy': 0.6455685688180082}
Round 4: loss=1.0637, metrics={'accuracy': 0.6732286734778636}
Round 5: loss=1.0204, metrics={'accuracy': 0.6929146939114544}
Round 6: loss=0.9896, metrics={'accuracy': 0.7061217709112052}
Round 7: loss=0.9634, metrics={'accuracy': 0.7159232494393222}
Round 8: loss=0.9367, metrics={'accuracy': 0.7217376858543069}
Round 9: loss=0.9082, metrics={'accuracy': 0.7273859955145776}
Round 10: loss=0.8761, metrics={'accuracy': 0.7317052911371377}
Round 11: loss=1.1304, metrics={'accuracy': 0.6985630035717252}
Round 12: loss=1.3855, metrics={'accuracy': 0.6947420882133067}
Round 13: loss=1.6477, metrics={'accuracy': 0.6812858210814852}
Round 14: loss=1.8778, metrics={'accuracy': 0.6730625467231498}
Round 15: loss=2.0630, metrics={'accuracy': 0.6702383918930144}
Round 16: loss=2.2069, metrics={'accuracy': 0.6702383918930144}
Round 17: loss=2.3207, metrics={'accuracy': 0.6720657861948667}
Round 18: loss=2.4091, metrics={'accuracy': 0.6758036381759283}
Round 19: loss=2.4610, metrics={'accuracy': 0.6823656449871252}
Round 20: loss=2.4941, metrics={'accuracy': 0.6875986377606114}
