Round 1: loss=1.6854, metrics={'accuracy': 0.5662430434421464}
Round 2: loss=1.3013, metrics={'accuracy': 0.6139214220450203}
Round 3: loss=1.1418, metrics={'accuracy': 0.6455685688180082}
Round 4: loss=1.0637, metrics={'accuracy': 0.6732286734778636}
Round 5: loss=1.0204, metrics={'accuracy': 0.6928316305340975}
Round 6: loss=0.6492, metrics={'accuracy': 0.7712434587590331}
Round 7: loss=0.6182, metrics={'accuracy': 0.8033059224188055}
Round 8: loss=0.6676, metrics={'accuracy': 0.7831215217210732}
Round 9: loss=0.7397, metrics={'accuracy': 0.7651798322119777}
Round 10: loss=0.7976, metrics={'accuracy': 0.7549630367970762}
Round 11: loss=0.8362, metrics={'accuracy': 0.7509759946839438}
Round 12: loss=0.8597, metrics={'accuracy': 0.7503114876650885}
Round 13: loss=0.8717, metrics={'accuracy': 0.7506437411745162}
Round 14: loss=0.8741, metrics={'accuracy': 0.7528864523631531}
Round 15: loss=0.8695, metrics={'accuracy': 0.75728881136307}
Round 16: loss=0.8594, metrics={'accuracy': 0.7621064872497716}
Round 17: loss=0.8486, metrics={'accuracy': 0.7679209236647562}
Round 18: loss=0.8347, metrics={'accuracy': 0.7736522967023839}
Round 19: loss=0.8246, metrics={'accuracy': 0.7777224021928731}
Round 20: loss=0.8145, metrics={'accuracy': 0.7837029653625717}
