Round 1: loss=1.6854, metrics={'accuracy': 0.5662430434421464}
Round 2: loss=1.3013, metrics={'accuracy': 0.6139214220450203}
Round 3: loss=1.1418, metrics={'accuracy': 0.6455685688180082}
Round 4: loss=1.0637, metrics={'accuracy': 0.6732286734778636}
Round 5: loss=1.0205, metrics={'accuracy': 0.6929146939114544}
Round 6: loss=0.9897, metrics={'accuracy': 0.7060387075338483}
Round 7: loss=0.9634, metrics={'accuracy': 0.7158401860619653}
Round 8: loss=0.9367, metrics={'accuracy': 0.7217376858543069}
Round 9: loss=0.9078, metrics={'accuracy': 0.7273029321372207}
Round 10: loss=0.8755, metrics={'accuracy': 0.7317052911371377}
Round 11: loss=1.5689, metrics={'accuracy': 0.6483096602707866}
Round 12: loss=1.8416, metrics={'accuracy': 0.6383420549879558}
Round 13: loss=1.9799, metrics={'accuracy': 0.643575047761442}
Round 14: loss=2.1001, metrics={'accuracy': 0.6454024420632943}
Round 15: loss=2.2146, metrics={'accuracy': 0.6402525126671651}
Round 16: loss=2.3186, metrics={'accuracy': 0.6357670902898912}
Round 17: loss=2.4099, metrics={'accuracy': 0.6321953650635435}
Round 18: loss=2.4583, metrics={'accuracy': 0.6312816679126173}
Round 19: loss=2.5016, metrics={'accuracy': 0.6301187806296203}
Round 20: loss=2.5344, metrics={'accuracy': 0.6303679707616912}
