Round 1: loss=1.6854, metrics={'accuracy': 0.5662430434421464}
Round 2: loss=1.3013, metrics={'accuracy': 0.6139214220450203}
Round 3: loss=1.1418, metrics={'accuracy': 0.6455685688180082}
Round 4: loss=1.0637, metrics={'accuracy': 0.6732286734778636}
Round 5: loss=1.0204, metrics={'accuracy': 0.6928316305340975}
Round 6: loss=1.7233, metrics={'accuracy': 0.52537586178254}
Round 7: loss=2.2676, metrics={'accuracy': 0.434421463576709}
Round 8: loss=2.6559, metrics={'accuracy': 0.40244206329429355}
Round 9: loss=3.0027, metrics={'accuracy': 0.4114129080488413}
Round 10: loss=3.3132, metrics={'accuracy': 0.42918847080322287}
Round 11: loss=3.5784, metrics={'accuracy': 0.44272780131240136}
Round 12: loss=3.7921, metrics={'accuracy': 0.45502118116122603}
Round 13: loss=3.9328, metrics={'accuracy': 0.4639089625384168}
Round 14: loss=4.0197, metrics={'accuracy': 0.47072015948168455}
Round 15: loss=4.0665, metrics={'accuracy': 0.4760362156325276}
Round 16: loss=4.0745, metrics={'accuracy': 0.4808538915192292}
Round 17: loss=4.0616, metrics={'accuracy': 0.48616994767007227}
Round 18: loss=4.0243, metrics={'accuracy': 0.48974167289641996}
Round 19: loss=3.9750, metrics={'accuracy': 0.4920674474624138}
Round 20: loss=3.9190, metrics={'accuracy': 0.49422709527369385}
