Round 1: training_avg_loss=1.4893, training_avg_wrong_conf=0.2985
Round 2: training_avg_loss=1.2695, training_avg_wrong_conf=0.3311
Round 3: training_avg_loss=1.1169, training_avg_wrong_conf=0.3603
Round 4: training_avg_loss=0.9442, training_avg_wrong_conf=0.4192
Round 5: training_avg_loss=0.8341, training_avg_wrong_conf=0.4619
Round 6: training_avg_loss=0.8743, training_avg_wrong_conf=0.4959
Round 7: training_avg_loss=0.6620, training_avg_wrong_conf=0.5556
Round 8: training_avg_loss=0.6815, training_avg_wrong_conf=0.5630
Round 9: training_avg_loss=0.5910, training_avg_wrong_conf=0.5832
Round 10: training_avg_loss=0.6814, training_avg_wrong_conf=0.5809
Round 11: training_avg_loss=0.5506, training_avg_wrong_conf=0.5933
Round 12: training_avg_loss=0.5950, training_avg_wrong_conf=0.5862
Round 13: training_avg_loss=0.5060, training_avg_wrong_conf=0.5989
Round 14: training_avg_loss=0.5737, training_avg_wrong_conf=0.5972
Round 15: training_avg_loss=0.4870, training_avg_wrong_conf=0.6007
Round 16: training_avg_loss=0.5326, training_avg_wrong_conf=0.5923
Round 17: training_avg_loss=0.4776, training_avg_wrong_conf=0.5946
Round 18: training_avg_loss=0.5803, training_avg_wrong_conf=0.5796
Round 19: training_avg_loss=0.4499, training_avg_wrong_conf=0.5996
Round 20: training_avg_loss=0.5417, training_avg_wrong_conf=0.5972
Round 21: training_avg_loss=0.4392, training_avg_wrong_conf=0.6009
Round 22: training_avg_loss=0.5331, training_avg_wrong_conf=0.5991
Round 23: training_avg_loss=0.4344, training_avg_wrong_conf=0.5999
Round 24: training_avg_loss=0.4923, training_avg_wrong_conf=0.5973
Round 25: training_avg_loss=0.4629, training_avg_wrong_conf=0.5947
Round 26: training_avg_loss=0.5899, training_avg_wrong_conf=0.5849
Round 27: training_avg_loss=0.4204, training_avg_wrong_conf=0.6054
Round 28: training_avg_loss=0.4173, training_avg_wrong_conf=0.6237
Round 29: training_avg_loss=0.4964, training_avg_wrong_conf=0.5938
Round 30: training_avg_loss=0.5662, training_avg_wrong_conf=0.5666
Round 31: training_avg_loss=0.4187, training_avg_wrong_conf=0.5989
Round 32: training_avg_loss=0.4460, training_avg_wrong_conf=0.5987
Round 33: training_avg_loss=0.4245, training_avg_wrong_conf=0.5998
Round 34: training_avg_loss=0.4940, training_avg_wrong_conf=0.5824
Round 35: training_avg_loss=0.4142, training_avg_wrong_conf=0.6067
Round 36: training_avg_loss=0.5476, training_avg_wrong_conf=0.5965
Round 37: training_avg_loss=0.4095, training_avg_wrong_conf=0.6062
Round 38: training_avg_loss=0.4581, training_avg_wrong_conf=0.6013
Round 39: training_avg_loss=0.4143, training_avg_wrong_conf=0.6084
Round 40: training_avg_loss=0.4522, training_avg_wrong_conf=0.6027
Round 41: training_avg_loss=0.4106, training_avg_wrong_conf=0.6108
Round 42: training_avg_loss=0.4624, training_avg_wrong_conf=0.6163
Round 43: training_avg_loss=0.4206, training_avg_wrong_conf=0.6082
Round 44: training_avg_loss=0.5161, training_avg_wrong_conf=0.5894
Round 45: training_avg_loss=0.3972, training_avg_wrong_conf=0.6090
Round 46: training_avg_loss=0.5342, training_avg_wrong_conf=0.6031
Round 47: training_avg_loss=0.3947, training_avg_wrong_conf=0.6152
Round 48: training_avg_loss=0.4661, training_avg_wrong_conf=0.6185
Round 49: training_avg_loss=0.4027, training_avg_wrong_conf=0.6121
Round 50: training_avg_loss=0.4652, training_avg_wrong_conf=0.5942
Round 51: training_avg_loss=0.4199, training_avg_wrong_conf=0.6032
Round 52: training_avg_loss=0.4748, training_avg_wrong_conf=0.5891
Round 53: training_avg_loss=0.3943, training_avg_wrong_conf=0.6144
Round 54: training_avg_loss=0.4348, training_avg_wrong_conf=0.6198
Round 55: training_avg_loss=0.3990, training_avg_wrong_conf=0.6096
Round 56: training_avg_loss=0.4639, training_avg_wrong_conf=0.6000
Round 57: training_avg_loss=0.3881, training_avg_wrong_conf=0.6163
Round 58: training_avg_loss=0.4901, training_avg_wrong_conf=0.5948
Round 59: training_avg_loss=0.3817, training_avg_wrong_conf=0.6183
Round 60: training_avg_loss=0.4622, training_avg_wrong_conf=0.6097
Round 61: training_avg_loss=0.3896, training_avg_wrong_conf=0.6210
Round 62: training_avg_loss=0.4478, training_avg_wrong_conf=0.6084
Round 63: training_avg_loss=0.3798, training_avg_wrong_conf=0.6201
Round 64: training_avg_loss=0.4094, training_avg_wrong_conf=0.6142
Round 65: training_avg_loss=0.4013, training_avg_wrong_conf=0.6183
Round 66: training_avg_loss=0.4537, training_avg_wrong_conf=0.6186
Round 67: training_avg_loss=0.3772, training_avg_wrong_conf=0.6195
Round 68: training_avg_loss=0.3830, training_avg_wrong_conf=0.6246
Round 69: training_avg_loss=0.3745, training_avg_wrong_conf=0.6226
Round 70: training_avg_loss=0.4345, training_avg_wrong_conf=0.6118
Round 71: training_avg_loss=0.3719, training_avg_wrong_conf=0.6206
Round 72: training_avg_loss=0.4240, training_avg_wrong_conf=0.6172
Round 73: training_avg_loss=0.3708, training_avg_wrong_conf=0.6215
Round 74: training_avg_loss=0.4213, training_avg_wrong_conf=0.6168
Round 75: training_avg_loss=0.3701, training_avg_wrong_conf=0.6207
Round 76: training_avg_loss=0.4289, training_avg_wrong_conf=0.6112
Round 77: training_avg_loss=0.3675, training_avg_wrong_conf=0.6220
Round 78: training_avg_loss=0.4297, training_avg_wrong_conf=0.6144
Round 79: training_avg_loss=0.3659, training_avg_wrong_conf=0.6213
Round 80: training_avg_loss=0.4319, training_avg_wrong_conf=0.6232
Round 81: training_avg_loss=0.3667, training_avg_wrong_conf=0.6260
Round 82: training_avg_loss=0.4148, training_avg_wrong_conf=0.6150
Round 83: training_avg_loss=0.3660, training_avg_wrong_conf=0.6246
Round 84: training_avg_loss=0.4128, training_avg_wrong_conf=0.6231
Round 85: training_avg_loss=0.3647, training_avg_wrong_conf=0.6222
Round 86: training_avg_loss=0.4362, training_avg_wrong_conf=0.6113
Round 87: training_avg_loss=0.3661, training_avg_wrong_conf=0.6219
Round 88: training_avg_loss=0.4012, training_avg_wrong_conf=0.6174
