Round 1: training_avg_loss=1.4893, training_avg_wrong_conf=0.2985
Round 2: training_avg_loss=1.2695, training_avg_wrong_conf=0.3311
Round 3: training_avg_loss=1.1169, training_avg_wrong_conf=0.3603
Round 4: training_avg_loss=0.9442, training_avg_wrong_conf=0.4192
Round 5: training_avg_loss=0.8341, training_avg_wrong_conf=0.4619
Round 6: training_avg_loss=0.8876, training_avg_wrong_conf=0.4911
Round 7: training_avg_loss=0.6658, training_avg_wrong_conf=0.5537
Round 8: training_avg_loss=0.6235, training_avg_wrong_conf=0.5775
Round 9: training_avg_loss=0.8095, training_avg_wrong_conf=0.5548
Round 10: training_avg_loss=0.5581, training_avg_wrong_conf=0.5926
Round 11: training_avg_loss=0.5400, training_avg_wrong_conf=0.5980
Round 12: training_avg_loss=0.6068, training_avg_wrong_conf=0.5864
Round 13: training_avg_loss=0.5048, training_avg_wrong_conf=0.5975
Round 14: training_avg_loss=0.5013, training_avg_wrong_conf=0.5988
Round 15: training_avg_loss=0.5813, training_avg_wrong_conf=0.5878
Round 16: training_avg_loss=0.4800, training_avg_wrong_conf=0.5978
Round 17: training_avg_loss=0.4788, training_avg_wrong_conf=0.5976
Round 18: training_avg_loss=0.5624, training_avg_wrong_conf=0.5767
Round 19: training_avg_loss=0.4560, training_avg_wrong_conf=0.5976
Round 20: training_avg_loss=0.4605, training_avg_wrong_conf=0.5945
Round 21: training_avg_loss=0.5076, training_avg_wrong_conf=0.5869
Round 22: training_avg_loss=0.4585, training_avg_wrong_conf=0.5907
Round 23: training_avg_loss=0.4576, training_avg_wrong_conf=0.5924
Round 24: training_avg_loss=0.5093, training_avg_wrong_conf=0.5834
Round 25: training_avg_loss=0.4410, training_avg_wrong_conf=0.5928
Round 26: training_avg_loss=0.4438, training_avg_wrong_conf=0.5945
Round 27: training_avg_loss=0.5115, training_avg_wrong_conf=0.5810
Round 28: training_avg_loss=0.4326, training_avg_wrong_conf=0.5950
Round 29: training_avg_loss=0.4350, training_avg_wrong_conf=0.5964
Round 30: training_avg_loss=0.5188, training_avg_wrong_conf=0.5817
Round 31: training_avg_loss=0.4243, training_avg_wrong_conf=0.5977
Round 32: training_avg_loss=0.4265, training_avg_wrong_conf=0.5991
Round 33: training_avg_loss=0.4614, training_avg_wrong_conf=0.5942
Round 34: training_avg_loss=0.4253, training_avg_wrong_conf=0.5986
Round 35: training_avg_loss=0.4279, training_avg_wrong_conf=0.5996
Round 36: training_avg_loss=0.4563, training_avg_wrong_conf=0.5940
Round 37: training_avg_loss=0.4253, training_avg_wrong_conf=0.5974
Round 38: training_avg_loss=0.4231, training_avg_wrong_conf=0.6003
Round 39: training_avg_loss=0.4490, training_avg_wrong_conf=0.5990
Round 40: training_avg_loss=0.4191, training_avg_wrong_conf=0.6029
Round 41: training_avg_loss=0.4194, training_avg_wrong_conf=0.6003
Round 42: training_avg_loss=0.4313, training_avg_wrong_conf=0.6028
Round 43: training_avg_loss=0.4160, training_avg_wrong_conf=0.6031
Round 44: training_avg_loss=0.4166, training_avg_wrong_conf=0.6033
Round 45: training_avg_loss=0.4358, training_avg_wrong_conf=0.5955
Round 46: training_avg_loss=0.4066, training_avg_wrong_conf=0.6072
Round 47: training_avg_loss=0.4098, training_avg_wrong_conf=0.6069
Round 48: training_avg_loss=0.4478, training_avg_wrong_conf=0.5971
Round 49: training_avg_loss=0.4006, training_avg_wrong_conf=0.6064
Round 50: training_avg_loss=0.4027, training_avg_wrong_conf=0.6096
Round 51: training_avg_loss=0.4164, training_avg_wrong_conf=0.6116
Round 52: training_avg_loss=0.3980, training_avg_wrong_conf=0.6129
Round 53: training_avg_loss=0.3995, training_avg_wrong_conf=0.6128
Round 54: training_avg_loss=0.4306, training_avg_wrong_conf=0.6064
Round 55: training_avg_loss=0.3939, training_avg_wrong_conf=0.6143
Round 56: training_avg_loss=0.3935, training_avg_wrong_conf=0.6143
Round 57: training_avg_loss=0.4022, training_avg_wrong_conf=0.6166
Round 58: training_avg_loss=0.3908, training_avg_wrong_conf=0.6157
Round 59: training_avg_loss=0.3899, training_avg_wrong_conf=0.6160
Round 60: training_avg_loss=0.3945, training_avg_wrong_conf=0.6165
Round 61: training_avg_loss=0.3862, training_avg_wrong_conf=0.6175
Round 62: training_avg_loss=0.3856, training_avg_wrong_conf=0.6179
Round 63: training_avg_loss=0.4335, training_avg_wrong_conf=0.6064
Round 64: training_avg_loss=0.3781, training_avg_wrong_conf=0.6189
Round 65: training_avg_loss=0.3784, training_avg_wrong_conf=0.6205
Round 66: training_avg_loss=0.3843, training_avg_wrong_conf=0.6203
Round 67: training_avg_loss=0.3780, training_avg_wrong_conf=0.6200
Round 68: training_avg_loss=0.3793, training_avg_wrong_conf=0.6198
Round 69: training_avg_loss=0.4087, training_avg_wrong_conf=0.6150
Round 70: training_avg_loss=0.3776, training_avg_wrong_conf=0.6181
Round 71: training_avg_loss=0.3780, training_avg_wrong_conf=0.6202
Round 72: training_avg_loss=0.4065, training_avg_wrong_conf=0.6191
Round 73: training_avg_loss=0.3714, training_avg_wrong_conf=0.6230
Round 74: training_avg_loss=0.3721, training_avg_wrong_conf=0.6205
Round 75: training_avg_loss=0.3865, training_avg_wrong_conf=0.6210
Round 76: training_avg_loss=0.3743, training_avg_wrong_conf=0.6191
Round 77: training_avg_loss=0.3735, training_avg_wrong_conf=0.6195
Round 78: training_avg_loss=0.4050, training_avg_wrong_conf=0.6163
Round 79: training_avg_loss=0.3678, training_avg_wrong_conf=0.6213
Round 80: training_avg_loss=0.3721, training_avg_wrong_conf=0.6190
Round 81: training_avg_loss=0.3910, training_avg_wrong_conf=0.6194
Round 82: training_avg_loss=0.3699, training_avg_wrong_conf=0.6199
Round 83: training_avg_loss=0.3713, training_avg_wrong_conf=0.6188
Round 84: training_avg_loss=0.3993, training_avg_wrong_conf=0.6165
Round 85: training_avg_loss=0.3663, training_avg_wrong_conf=0.6209
Round 86: training_avg_loss=0.3694, training_avg_wrong_conf=0.6213
Round 87: training_avg_loss=0.4031, training_avg_wrong_conf=0.6126
Round 88: training_avg_loss=0.3689, training_avg_wrong_conf=0.6172
