Round 1: training_avg_loss=1.4893, training_avg_wrong_conf=0.2985
Round 2: training_avg_loss=1.2695, training_avg_wrong_conf=0.3311
Round 3: training_avg_loss=1.1169, training_avg_wrong_conf=0.3603
Round 4: training_avg_loss=0.9442, training_avg_wrong_conf=0.4192
Round 5: training_avg_loss=0.8341, training_avg_wrong_conf=0.4619
Round 6: training_avg_loss=0.7963, training_avg_wrong_conf=0.5061
Round 7: training_avg_loss=0.6668, training_avg_wrong_conf=0.5545
Round 8: training_avg_loss=0.6274, training_avg_wrong_conf=0.5744
Round 9: training_avg_loss=0.6682, training_avg_wrong_conf=0.5713
Round 10: training_avg_loss=0.5677, training_avg_wrong_conf=0.5885
Round 11: training_avg_loss=0.5532, training_avg_wrong_conf=0.5935
Round 12: training_avg_loss=0.6026, training_avg_wrong_conf=0.5833
Round 13: training_avg_loss=0.5178, training_avg_wrong_conf=0.5936
Round 14: training_avg_loss=0.5136, training_avg_wrong_conf=0.5947
Round 15: training_avg_loss=0.5566, training_avg_wrong_conf=0.5854
Round 16: training_avg_loss=0.4965, training_avg_wrong_conf=0.5890
Round 17: training_avg_loss=0.4923, training_avg_wrong_conf=0.5886
Round 18: training_avg_loss=0.5776, training_avg_wrong_conf=0.5754
Round 19: training_avg_loss=0.4598, training_avg_wrong_conf=0.5978
Round 20: training_avg_loss=0.4636, training_avg_wrong_conf=0.5941
Round 21: training_avg_loss=0.5518, training_avg_wrong_conf=0.5872
Round 22: training_avg_loss=0.4446, training_avg_wrong_conf=0.5962
Round 23: training_avg_loss=0.4474, training_avg_wrong_conf=0.5970
Round 24: training_avg_loss=0.4932, training_avg_wrong_conf=0.5866
Round 25: training_avg_loss=0.4374, training_avg_wrong_conf=0.5995
Round 26: training_avg_loss=0.4386, training_avg_wrong_conf=0.6013
Round 27: training_avg_loss=0.5036, training_avg_wrong_conf=0.5972
Round 28: training_avg_loss=0.4284, training_avg_wrong_conf=0.6027
Round 29: training_avg_loss=0.4294, training_avg_wrong_conf=0.6031
Round 30: training_avg_loss=0.5045, training_avg_wrong_conf=0.6017
Round 31: training_avg_loss=0.4218, training_avg_wrong_conf=0.6075
Round 32: training_avg_loss=0.4166, training_avg_wrong_conf=0.6096
Round 33: training_avg_loss=0.5206, training_avg_wrong_conf=0.6033
Round 34: training_avg_loss=0.4002, training_avg_wrong_conf=0.6118
Round 35: training_avg_loss=0.4029, training_avg_wrong_conf=0.6175
Round 36: training_avg_loss=0.5149, training_avg_wrong_conf=0.6052
Round 37: training_avg_loss=0.3896, training_avg_wrong_conf=0.6179
Round 38: training_avg_loss=0.3916, training_avg_wrong_conf=0.6216
Round 39: training_avg_loss=0.4610, training_avg_wrong_conf=0.6135
Round 40: training_avg_loss=0.3976, training_avg_wrong_conf=0.6203
Round 41: training_avg_loss=0.3927, training_avg_wrong_conf=0.6190
Round 42: training_avg_loss=0.4387, training_avg_wrong_conf=0.6187
Round 43: training_avg_loss=0.3960, training_avg_wrong_conf=0.6228
Round 44: training_avg_loss=0.3801, training_avg_wrong_conf=0.6277
Round 45: training_avg_loss=0.4988, training_avg_wrong_conf=0.6225
Round 46: training_avg_loss=0.3728, training_avg_wrong_conf=0.6407
Round 47: training_avg_loss=0.3626, training_avg_wrong_conf=0.6344
Round 48: training_avg_loss=0.3202, training_avg_wrong_conf=0.6637
Round 49: training_avg_loss=0.3730, training_avg_wrong_conf=0.6174
Round 50: training_avg_loss=0.3682, training_avg_wrong_conf=0.6259
Round 51: training_avg_loss=0.3599, training_avg_wrong_conf=0.6799
Round 52: training_avg_loss=0.3794, training_avg_wrong_conf=0.6176
Round 53: training_avg_loss=0.3707, training_avg_wrong_conf=0.6288
Round 54: training_avg_loss=0.4764, training_avg_wrong_conf=0.6169
Round 55: training_avg_loss=0.3568, training_avg_wrong_conf=0.6439
Round 56: training_avg_loss=0.3551, training_avg_wrong_conf=0.6384
Round 57: training_avg_loss=0.3410, training_avg_wrong_conf=0.6806
Round 58: training_avg_loss=0.3712, training_avg_wrong_conf=0.6258
Round 59: training_avg_loss=0.3642, training_avg_wrong_conf=0.6321
Round 60: training_avg_loss=0.4732, training_avg_wrong_conf=0.6259
Round 61: training_avg_loss=0.3560, training_avg_wrong_conf=0.6466
Round 62: training_avg_loss=0.3495, training_avg_wrong_conf=0.6418
Round 63: training_avg_loss=0.3709, training_avg_wrong_conf=0.6497
Round 64: training_avg_loss=0.3576, training_avg_wrong_conf=0.6376
Round 65: training_avg_loss=0.3530, training_avg_wrong_conf=0.6378
Round 66: training_avg_loss=0.3710, training_avg_wrong_conf=0.6496
Round 67: training_avg_loss=0.3712, training_avg_wrong_conf=0.6413
Round 68: training_avg_loss=0.3570, training_avg_wrong_conf=0.6365
Round 69: training_avg_loss=0.3956, training_avg_wrong_conf=0.6473
Round 70: training_avg_loss=0.3641, training_avg_wrong_conf=0.6216
Round 71: training_avg_loss=0.3544, training_avg_wrong_conf=0.6299
Round 72: training_avg_loss=0.4242, training_avg_wrong_conf=0.6308
Round 73: training_avg_loss=0.3499, training_avg_wrong_conf=0.6482
Round 74: training_avg_loss=0.3473, training_avg_wrong_conf=0.6411
Round 75: training_avg_loss=0.3316, training_avg_wrong_conf=0.6862
Round 76: training_avg_loss=0.3914, training_avg_wrong_conf=0.6401
Round 77: training_avg_loss=0.3605, training_avg_wrong_conf=0.6313
Round 78: training_avg_loss=0.3826, training_avg_wrong_conf=0.6382
Round 79: training_avg_loss=0.3661, training_avg_wrong_conf=0.6263
Round 80: training_avg_loss=0.3518, training_avg_wrong_conf=0.6321
Round 81: training_avg_loss=0.2809, training_avg_wrong_conf=0.6579
Round 82: training_avg_loss=0.4395, training_avg_wrong_conf=0.6127
Round 83: training_avg_loss=0.3743, training_avg_wrong_conf=0.6200
Round 84: training_avg_loss=0.4316, training_avg_wrong_conf=0.6226
Round 85: training_avg_loss=0.3512, training_avg_wrong_conf=0.6408
Round 86: training_avg_loss=0.3457, training_avg_wrong_conf=0.6384
Round 87: training_avg_loss=0.3440, training_avg_wrong_conf=0.6634
Round 88: training_avg_loss=0.3597, training_avg_wrong_conf=0.6220
