Round 1: training_avg_loss=1.4893, training_avg_wrong_conf=0.2985
Round 2: training_avg_loss=1.2695, training_avg_wrong_conf=0.3311
Round 3: training_avg_loss=1.1169, training_avg_wrong_conf=0.3603
Round 4: training_avg_loss=0.9442, training_avg_wrong_conf=0.4192
Round 5: training_avg_loss=0.8341, training_avg_wrong_conf=0.4619
Round 6: training_avg_loss=0.9282, training_avg_wrong_conf=0.4807
Round 7: training_avg_loss=0.6486, training_avg_wrong_conf=0.5550
Round 8: training_avg_loss=0.6154, training_avg_wrong_conf=0.5796
Round 9: training_avg_loss=0.7634, training_avg_wrong_conf=0.5570
Round 10: training_avg_loss=0.5501, training_avg_wrong_conf=0.5930
Round 11: training_avg_loss=0.5397, training_avg_wrong_conf=0.5996
Round 12: training_avg_loss=0.7140, training_avg_wrong_conf=0.5619
Round 13: training_avg_loss=0.4906, training_avg_wrong_conf=0.6003
Round 14: training_avg_loss=0.4843, training_avg_wrong_conf=0.6059
Round 15: training_avg_loss=0.6203, training_avg_wrong_conf=0.5829
Round 16: training_avg_loss=0.4643, training_avg_wrong_conf=0.6019
Round 17: training_avg_loss=0.4671, training_avg_wrong_conf=0.6023
Round 18: training_avg_loss=0.6017, training_avg_wrong_conf=0.5734
Round 19: training_avg_loss=0.4447, training_avg_wrong_conf=0.6023
Round 20: training_avg_loss=0.4499, training_avg_wrong_conf=0.6010
Round 21: training_avg_loss=0.5519, training_avg_wrong_conf=0.5806
Round 22: training_avg_loss=0.4450, training_avg_wrong_conf=0.5991
Round 23: training_avg_loss=0.4481, training_avg_wrong_conf=0.5957
Round 24: training_avg_loss=0.5428, training_avg_wrong_conf=0.5822
Round 25: training_avg_loss=0.4451, training_avg_wrong_conf=0.5918
Round 26: training_avg_loss=0.4439, training_avg_wrong_conf=0.5944
Round 27: training_avg_loss=0.5189, training_avg_wrong_conf=0.5875
Round 28: training_avg_loss=0.4316, training_avg_wrong_conf=0.5971
Round 29: training_avg_loss=0.4326, training_avg_wrong_conf=0.5983
Round 30: training_avg_loss=0.4941, training_avg_wrong_conf=0.5871
Round 31: training_avg_loss=0.4345, training_avg_wrong_conf=0.5933
Round 32: training_avg_loss=0.4335, training_avg_wrong_conf=0.5963
Round 33: training_avg_loss=0.4941, training_avg_wrong_conf=0.5919
Round 34: training_avg_loss=0.4220, training_avg_wrong_conf=0.5982
Round 35: training_avg_loss=0.4227, training_avg_wrong_conf=0.5994
Round 36: training_avg_loss=0.5303, training_avg_wrong_conf=0.5756
Round 37: training_avg_loss=0.4032, training_avg_wrong_conf=0.6060
Round 38: training_avg_loss=0.4064, training_avg_wrong_conf=0.6082
Round 39: training_avg_loss=0.4680, training_avg_wrong_conf=0.6011
Round 40: training_avg_loss=0.4097, training_avg_wrong_conf=0.6041
Round 41: training_avg_loss=0.4110, training_avg_wrong_conf=0.6046
Round 42: training_avg_loss=0.4886, training_avg_wrong_conf=0.5983
Round 43: training_avg_loss=0.4014, training_avg_wrong_conf=0.6048
Round 44: training_avg_loss=0.4012, training_avg_wrong_conf=0.6090
Round 45: training_avg_loss=0.4533, training_avg_wrong_conf=0.6113
Round 46: training_avg_loss=0.3995, training_avg_wrong_conf=0.6129
Round 47: training_avg_loss=0.3965, training_avg_wrong_conf=0.6115
Round 48: training_avg_loss=0.4459, training_avg_wrong_conf=0.6083
Round 49: training_avg_loss=0.3903, training_avg_wrong_conf=0.6181
Round 50: training_avg_loss=0.3880, training_avg_wrong_conf=0.6174
Round 51: training_avg_loss=0.4697, training_avg_wrong_conf=0.6007
Round 52: training_avg_loss=0.3772, training_avg_wrong_conf=0.6270
Round 53: training_avg_loss=0.3780, training_avg_wrong_conf=0.6253
Round 54: training_avg_loss=0.4449, training_avg_wrong_conf=0.6232
Round 55: training_avg_loss=0.3772, training_avg_wrong_conf=0.6272
Round 56: training_avg_loss=0.3769, training_avg_wrong_conf=0.6240
Round 57: training_avg_loss=0.4437, training_avg_wrong_conf=0.6165
Round 58: training_avg_loss=0.3729, training_avg_wrong_conf=0.6279
Round 59: training_avg_loss=0.3744, training_avg_wrong_conf=0.6267
Round 60: training_avg_loss=0.4505, training_avg_wrong_conf=0.6103
Round 61: training_avg_loss=0.3689, training_avg_wrong_conf=0.6304
Round 62: training_avg_loss=0.3691, training_avg_wrong_conf=0.6264
Round 63: training_avg_loss=0.4035, training_avg_wrong_conf=0.6338
Round 64: training_avg_loss=0.3712, training_avg_wrong_conf=0.6239
Round 65: training_avg_loss=0.3704, training_avg_wrong_conf=0.6246
Round 66: training_avg_loss=0.4403, training_avg_wrong_conf=0.6227
Round 67: training_avg_loss=0.3664, training_avg_wrong_conf=0.6308
Round 68: training_avg_loss=0.3667, training_avg_wrong_conf=0.6277
Round 69: training_avg_loss=0.4021, training_avg_wrong_conf=0.6302
Round 70: training_avg_loss=0.3678, training_avg_wrong_conf=0.6232
Round 71: training_avg_loss=0.3677, training_avg_wrong_conf=0.6236
Round 72: training_avg_loss=0.4334, training_avg_wrong_conf=0.6176
Round 73: training_avg_loss=0.3679, training_avg_wrong_conf=0.6229
Round 74: training_avg_loss=0.3673, training_avg_wrong_conf=0.6218
Round 75: training_avg_loss=0.4491, training_avg_wrong_conf=0.6198
Round 76: training_avg_loss=0.3630, training_avg_wrong_conf=0.6221
Round 77: training_avg_loss=0.3652, training_avg_wrong_conf=0.6232
Round 78: training_avg_loss=0.4393, training_avg_wrong_conf=0.6168
Round 79: training_avg_loss=0.3626, training_avg_wrong_conf=0.6245
Round 80: training_avg_loss=0.3634, training_avg_wrong_conf=0.6234
Round 81: training_avg_loss=0.4263, training_avg_wrong_conf=0.6158
Round 82: training_avg_loss=0.3603, training_avg_wrong_conf=0.6287
Round 83: training_avg_loss=0.3598, training_avg_wrong_conf=0.6248
Round 84: training_avg_loss=0.4328, training_avg_wrong_conf=0.6150
Round 85: training_avg_loss=0.3595, training_avg_wrong_conf=0.6225
Round 86: training_avg_loss=0.3602, training_avg_wrong_conf=0.6242
Round 87: training_avg_loss=0.4229, training_avg_wrong_conf=0.6144
Round 88: training_avg_loss=0.3586, training_avg_wrong_conf=0.6245
