Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6344
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6529
Round 6: training_avg_loss=0.1025, training_avg_wrong_conf=0.6416
Round 7: training_avg_loss=0.0606, training_avg_wrong_conf=0.6760
Round 8: training_avg_loss=0.0564, training_avg_wrong_conf=0.6869
Round 9: training_avg_loss=0.0678, training_avg_wrong_conf=0.6728
Round 10: training_avg_loss=0.0480, training_avg_wrong_conf=0.6970
Round 11: training_avg_loss=0.0455, training_avg_wrong_conf=0.7035
Round 12: training_avg_loss=0.0480, training_avg_wrong_conf=0.7039
Round 13: training_avg_loss=0.0411, training_avg_wrong_conf=0.7093
Round 14: training_avg_loss=0.0394, training_avg_wrong_conf=0.7101
Round 15: training_avg_loss=0.0400, training_avg_wrong_conf=0.7016
Round 16: training_avg_loss=0.0356, training_avg_wrong_conf=0.7167
Round 17: training_avg_loss=0.0342, training_avg_wrong_conf=0.7217
Round 18: training_avg_loss=0.0314, training_avg_wrong_conf=0.7219
Round 19: training_avg_loss=0.0340, training_avg_wrong_conf=0.7248
Round 20: training_avg_loss=0.0315, training_avg_wrong_conf=0.7279
Round 21: training_avg_loss=0.0264, training_avg_wrong_conf=0.7303
Round 22: training_avg_loss=0.0321, training_avg_wrong_conf=0.7324
Round 23: training_avg_loss=0.0297, training_avg_wrong_conf=0.7244
Round 24: training_avg_loss=0.0248, training_avg_wrong_conf=0.7224
Round 25: training_avg_loss=0.0301, training_avg_wrong_conf=0.7307
Round 26: training_avg_loss=0.0274, training_avg_wrong_conf=0.7289
Round 27: training_avg_loss=0.0276, training_avg_wrong_conf=0.7313
Round 28: training_avg_loss=0.0251, training_avg_wrong_conf=0.7325
Round 29: training_avg_loss=0.0244, training_avg_wrong_conf=0.7356
Round 30: training_avg_loss=0.0218, training_avg_wrong_conf=0.7364
Round 31: training_avg_loss=0.0247, training_avg_wrong_conf=0.7353
Round 32: training_avg_loss=0.0233, training_avg_wrong_conf=0.7353
Round 33: training_avg_loss=0.0233, training_avg_wrong_conf=0.7354
Round 34: training_avg_loss=0.0218, training_avg_wrong_conf=0.7373
Round 35: training_avg_loss=0.0215, training_avg_wrong_conf=0.7413
Round 36: training_avg_loss=0.0206, training_avg_wrong_conf=0.7407
Round 37: training_avg_loss=0.0209, training_avg_wrong_conf=0.7478
Round 38: training_avg_loss=0.0205, training_avg_wrong_conf=0.7440
Round 39: training_avg_loss=0.0197, training_avg_wrong_conf=0.7524
Round 40: training_avg_loss=0.0200, training_avg_wrong_conf=0.7466
Round 41: training_avg_loss=0.0196, training_avg_wrong_conf=0.7491
Round 42: training_avg_loss=0.0186, training_avg_wrong_conf=0.7479
Round 43: training_avg_loss=0.0192, training_avg_wrong_conf=0.7555
Round 44: training_avg_loss=0.0188, training_avg_wrong_conf=0.7587
Round 45: training_avg_loss=0.0182, training_avg_wrong_conf=0.7517
Round 46: training_avg_loss=0.0183, training_avg_wrong_conf=0.7578
Round 47: training_avg_loss=0.0180, training_avg_wrong_conf=0.7598
Round 48: training_avg_loss=0.0185, training_avg_wrong_conf=0.7582
Round 49: training_avg_loss=0.0175, training_avg_wrong_conf=0.7621
Round 50: training_avg_loss=0.0173, training_avg_wrong_conf=0.7612
Round 51: training_avg_loss=0.0176, training_avg_wrong_conf=0.7637
Round 52: training_avg_loss=0.0169, training_avg_wrong_conf=0.7650
Round 53: training_avg_loss=0.0168, training_avg_wrong_conf=0.7636
Round 54: training_avg_loss=0.0173, training_avg_wrong_conf=0.7602
