Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6344
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6529
Round 6: training_avg_loss=0.0783, training_avg_wrong_conf=0.6632
Round 7: training_avg_loss=0.0672, training_avg_wrong_conf=0.6739
Round 8: training_avg_loss=0.0619, training_avg_wrong_conf=0.6800
Round 9: training_avg_loss=0.0609, training_avg_wrong_conf=0.6775
Round 10: training_avg_loss=0.0519, training_avg_wrong_conf=0.6907
Round 11: training_avg_loss=0.0489, training_avg_wrong_conf=0.6955
Round 12: training_avg_loss=0.0451, training_avg_wrong_conf=0.7003
Round 13: training_avg_loss=0.0444, training_avg_wrong_conf=0.6984
Round 14: training_avg_loss=0.0415, training_avg_wrong_conf=0.7009
Round 15: training_avg_loss=0.0391, training_avg_wrong_conf=0.7032
Round 16: training_avg_loss=0.0369, training_avg_wrong_conf=0.7100
Round 17: training_avg_loss=0.0351, training_avg_wrong_conf=0.7123
Round 18: training_avg_loss=0.0347, training_avg_wrong_conf=0.7152
Round 19: training_avg_loss=0.0321, training_avg_wrong_conf=0.7176
Round 20: training_avg_loss=0.0310, training_avg_wrong_conf=0.7207
Round 21: training_avg_loss=0.0271, training_avg_wrong_conf=0.7203
Round 22: training_avg_loss=0.0303, training_avg_wrong_conf=0.7251
Round 23: training_avg_loss=0.0284, training_avg_wrong_conf=0.7254
Round 24: training_avg_loss=0.0230, training_avg_wrong_conf=0.7278
Round 25: training_avg_loss=0.0281, training_avg_wrong_conf=0.7330
Round 26: training_avg_loss=0.0263, training_avg_wrong_conf=0.7311
Round 27: training_avg_loss=0.0228, training_avg_wrong_conf=0.7249
Round 28: training_avg_loss=0.0269, training_avg_wrong_conf=0.7339
Round 29: training_avg_loss=0.0249, training_avg_wrong_conf=0.7303
Round 30: training_avg_loss=0.0167, training_avg_wrong_conf=0.7291
Round 31: training_avg_loss=0.0274, training_avg_wrong_conf=0.7400
Round 32: training_avg_loss=0.0242, training_avg_wrong_conf=0.7327
Round 33: training_avg_loss=0.0144, training_avg_wrong_conf=0.7364
Round 34: training_avg_loss=0.0270, training_avg_wrong_conf=0.7415
Round 35: training_avg_loss=0.0231, training_avg_wrong_conf=0.7355
Round 36: training_avg_loss=0.0147, training_avg_wrong_conf=0.7239
Round 37: training_avg_loss=0.0236, training_avg_wrong_conf=0.7395
Round 38: training_avg_loss=0.0212, training_avg_wrong_conf=0.7422
Round 39: training_avg_loss=0.0191, training_avg_wrong_conf=0.7215
Round 40: training_avg_loss=0.0207, training_avg_wrong_conf=0.7445
Round 41: training_avg_loss=0.0198, training_avg_wrong_conf=0.7481
Round 42: training_avg_loss=0.0133, training_avg_wrong_conf=0.7347
Round 43: training_avg_loss=0.0206, training_avg_wrong_conf=0.7519
Round 44: training_avg_loss=0.0193, training_avg_wrong_conf=0.7525
Round 45: training_avg_loss=0.0178, training_avg_wrong_conf=0.7468
Round 46: training_avg_loss=0.0191, training_avg_wrong_conf=0.7560
Round 47: training_avg_loss=0.0183, training_avg_wrong_conf=0.7574
Round 48: training_avg_loss=0.0113, training_avg_wrong_conf=0.7588
Round 49: training_avg_loss=0.0230, training_avg_wrong_conf=0.7566
Round 50: training_avg_loss=0.0185, training_avg_wrong_conf=0.7541
Round 51: training_avg_loss=0.0163, training_avg_wrong_conf=0.7523
Round 52: training_avg_loss=0.0177, training_avg_wrong_conf=0.7606
Round 53: training_avg_loss=0.0171, training_avg_wrong_conf=0.7529
Round 54: training_avg_loss=0.0104, training_avg_wrong_conf=0.7504
