Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6344
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6529
Round 6: training_avg_loss=0.1103, training_avg_wrong_conf=0.6438
Round 7: training_avg_loss=0.0592, training_avg_wrong_conf=0.6738
Round 8: training_avg_loss=0.0555, training_avg_wrong_conf=0.6873
Round 9: training_avg_loss=0.0595, training_avg_wrong_conf=0.6818
Round 10: training_avg_loss=0.0480, training_avg_wrong_conf=0.6975
Round 11: training_avg_loss=0.0458, training_avg_wrong_conf=0.7004
Round 12: training_avg_loss=0.0456, training_avg_wrong_conf=0.7050
Round 13: training_avg_loss=0.0407, training_avg_wrong_conf=0.7088
Round 14: training_avg_loss=0.0391, training_avg_wrong_conf=0.7093
Round 15: training_avg_loss=0.0361, training_avg_wrong_conf=0.7111
Round 16: training_avg_loss=0.0366, training_avg_wrong_conf=0.7194
Round 17: training_avg_loss=0.0346, training_avg_wrong_conf=0.7192
Round 18: training_avg_loss=0.0324, training_avg_wrong_conf=0.7134
Round 19: training_avg_loss=0.0324, training_avg_wrong_conf=0.7214
Round 20: training_avg_loss=0.0310, training_avg_wrong_conf=0.7229
Round 21: training_avg_loss=0.0282, training_avg_wrong_conf=0.7207
Round 22: training_avg_loss=0.0302, training_avg_wrong_conf=0.7308
Round 23: training_avg_loss=0.0289, training_avg_wrong_conf=0.7280
Round 24: training_avg_loss=0.0235, training_avg_wrong_conf=0.7394
Round 25: training_avg_loss=0.0282, training_avg_wrong_conf=0.7332
Round 26: training_avg_loss=0.0267, training_avg_wrong_conf=0.7319
Round 27: training_avg_loss=0.0233, training_avg_wrong_conf=0.7349
Round 28: training_avg_loss=0.0260, training_avg_wrong_conf=0.7389
Round 29: training_avg_loss=0.0247, training_avg_wrong_conf=0.7365
Round 30: training_avg_loss=0.0218, training_avg_wrong_conf=0.7307
Round 31: training_avg_loss=0.0246, training_avg_wrong_conf=0.7409
Round 32: training_avg_loss=0.0233, training_avg_wrong_conf=0.7359
Round 33: training_avg_loss=0.0226, training_avg_wrong_conf=0.7238
Round 34: training_avg_loss=0.0224, training_avg_wrong_conf=0.7387
Round 35: training_avg_loss=0.0218, training_avg_wrong_conf=0.7382
Round 36: training_avg_loss=0.0159, training_avg_wrong_conf=0.7356
Round 37: training_avg_loss=0.0234, training_avg_wrong_conf=0.7452
Round 38: training_avg_loss=0.0213, training_avg_wrong_conf=0.7434
Round 39: training_avg_loss=0.0165, training_avg_wrong_conf=0.7367
Round 40: training_avg_loss=0.0218, training_avg_wrong_conf=0.7464
Round 41: training_avg_loss=0.0203, training_avg_wrong_conf=0.7473
Round 42: training_avg_loss=0.0180, training_avg_wrong_conf=0.7487
Round 43: training_avg_loss=0.0206, training_avg_wrong_conf=0.7507
Round 44: training_avg_loss=0.0193, training_avg_wrong_conf=0.7446
Round 45: training_avg_loss=0.0169, training_avg_wrong_conf=0.7465
Round 46: training_avg_loss=0.0192, training_avg_wrong_conf=0.7484
Round 47: training_avg_loss=0.0183, training_avg_wrong_conf=0.7505
Round 48: training_avg_loss=0.0156, training_avg_wrong_conf=0.7529
Round 49: training_avg_loss=0.0185, training_avg_wrong_conf=0.7493
Round 50: training_avg_loss=0.0177, training_avg_wrong_conf=0.7538
Round 51: training_avg_loss=0.0171, training_avg_wrong_conf=0.7563
Round 52: training_avg_loss=0.0173, training_avg_wrong_conf=0.7580
Round 53: training_avg_loss=0.0170, training_avg_wrong_conf=0.7569
Round 54: training_avg_loss=0.0158, training_avg_wrong_conf=0.7488
