Round 1: training_avg_loss=1.4893, training_avg_wrong_conf=0.2985
Round 2: training_avg_loss=1.2695, training_avg_wrong_conf=0.3311
Round 3: training_avg_loss=1.1169, training_avg_wrong_conf=0.3603
Round 4: training_avg_loss=0.9442, training_avg_wrong_conf=0.4192
Round 5: training_avg_loss=0.8341, training_avg_wrong_conf=0.4619
Round 6: training_avg_loss=0.8743, training_avg_wrong_conf=0.4959
Round 8: training_avg_loss=0.7221, training_avg_wrong_conf=0.5494
Round 10: training_avg_loss=0.7027, training_avg_wrong_conf=0.5655
Round 12: training_avg_loss=0.7064, training_avg_wrong_conf=0.5703
Round 14: training_avg_loss=0.6183, training_avg_wrong_conf=0.5862
Round 16: training_avg_loss=0.6477, training_avg_wrong_conf=0.5817
Round 18: training_avg_loss=0.5479, training_avg_wrong_conf=0.5986
Round 20: training_avg_loss=0.6048, training_avg_wrong_conf=0.5891
Round 22: training_avg_loss=0.4966, training_avg_wrong_conf=0.6142
Round 24: training_avg_loss=0.5618, training_avg_wrong_conf=0.5900
Round 26: training_avg_loss=0.5571, training_avg_wrong_conf=0.5870
Round 28: training_avg_loss=0.5031, training_avg_wrong_conf=0.6006
Round 30: training_avg_loss=0.5184, training_avg_wrong_conf=0.6042
Round 32: training_avg_loss=0.5046, training_avg_wrong_conf=0.6098
Round 34: training_avg_loss=0.5083, training_avg_wrong_conf=0.5939
Round 36: training_avg_loss=0.5399, training_avg_wrong_conf=0.6024
Round 38: training_avg_loss=0.4946, training_avg_wrong_conf=0.6092
Round 40: training_avg_loss=0.4800, training_avg_wrong_conf=0.6028
Round 42: training_avg_loss=0.4577, training_avg_wrong_conf=0.6092
Round 44: training_avg_loss=0.5850, training_avg_wrong_conf=0.5774
Round 46: training_avg_loss=0.4613, training_avg_wrong_conf=0.6024
Round 48: training_avg_loss=0.5685, training_avg_wrong_conf=0.5983
Round 50: training_avg_loss=0.5050, training_avg_wrong_conf=0.6175
Round 52: training_avg_loss=0.4169, training_avg_wrong_conf=0.6237
Round 54: training_avg_loss=0.5311, training_avg_wrong_conf=0.6050
Round 56: training_avg_loss=0.5257, training_avg_wrong_conf=0.6024
Round 58: training_avg_loss=0.4662, training_avg_wrong_conf=0.6051
Round 60: training_avg_loss=0.4661, training_avg_wrong_conf=0.5979
Round 62: training_avg_loss=0.5309, training_avg_wrong_conf=0.6093
Round 64: training_avg_loss=0.4511, training_avg_wrong_conf=0.6093
Round 66: training_avg_loss=0.4254, training_avg_wrong_conf=0.6019
Round 68: training_avg_loss=0.5436, training_avg_wrong_conf=0.5997
Round 70: training_avg_loss=0.4130, training_avg_wrong_conf=0.6165
Round 72: training_avg_loss=0.4617, training_avg_wrong_conf=0.6037
Round 74: training_avg_loss=0.4605, training_avg_wrong_conf=0.6025
Round 76: training_avg_loss=0.4346, training_avg_wrong_conf=0.6103
Round 78: training_avg_loss=0.4874, training_avg_wrong_conf=0.6235
Round 80: training_avg_loss=0.4967, training_avg_wrong_conf=0.6246
Round 82: training_avg_loss=0.4350, training_avg_wrong_conf=0.6353
Round 84: training_avg_loss=0.5381, training_avg_wrong_conf=0.5890
Round 86: training_avg_loss=0.5096, training_avg_wrong_conf=0.5938
Round 88: training_avg_loss=0.4539, training_avg_wrong_conf=0.6218
Round 90: training_avg_loss=0.4633, training_avg_wrong_conf=0.6132
Round 92: training_avg_loss=0.4555, training_avg_wrong_conf=0.6121
Round 94: training_avg_loss=0.4402, training_avg_wrong_conf=0.6234
Round 96: training_avg_loss=0.4361, training_avg_wrong_conf=0.6123
Round 98: training_avg_loss=0.4396, training_avg_wrong_conf=0.6054
Round 100: training_avg_loss=0.4284, training_avg_wrong_conf=0.6119
Round 102: training_avg_loss=0.3798, training_avg_wrong_conf=0.6079
Round 104: training_avg_loss=0.4450, training_avg_wrong_conf=0.6061
Round 106: training_avg_loss=0.4508, training_avg_wrong_conf=0.6190
Round 108: training_avg_loss=0.4212, training_avg_wrong_conf=0.5998
Round 110: training_avg_loss=0.4500, training_avg_wrong_conf=0.6118
Round 112: training_avg_loss=0.4340, training_avg_wrong_conf=0.6189
Round 114: training_avg_loss=0.3861, training_avg_wrong_conf=0.6183
Round 116: training_avg_loss=0.4306, training_avg_wrong_conf=0.6094
Round 118: training_avg_loss=0.5030, training_avg_wrong_conf=0.6131
Round 120: training_avg_loss=0.3680, training_avg_wrong_conf=0.6490
Round 122: training_avg_loss=0.4193, training_avg_wrong_conf=0.6217
Round 124: training_avg_loss=0.4671, training_avg_wrong_conf=0.6140
Round 126: training_avg_loss=0.4249, training_avg_wrong_conf=0.6193
Round 128: training_avg_loss=0.3809, training_avg_wrong_conf=0.6146
Round 130: training_avg_loss=0.3881, training_avg_wrong_conf=0.6317
Round 132: training_avg_loss=0.4673, training_avg_wrong_conf=0.6109
Round 134: training_avg_loss=0.3977, training_avg_wrong_conf=0.6137
Round 136: training_avg_loss=0.4039, training_avg_wrong_conf=0.6265
Round 138: training_avg_loss=0.3871, training_avg_wrong_conf=0.6316
Round 140: training_avg_loss=0.3692, training_avg_wrong_conf=0.6315
Round 142: training_avg_loss=0.4798, training_avg_wrong_conf=0.6108
Round 144: training_avg_loss=0.4265, training_avg_wrong_conf=0.6171
Round 146: training_avg_loss=0.4070, training_avg_wrong_conf=0.6152
Round 148: training_avg_loss=0.4178, training_avg_wrong_conf=0.6125
Round 150: training_avg_loss=0.3884, training_avg_wrong_conf=0.6165
Round 152: training_avg_loss=0.4138, training_avg_wrong_conf=0.6127
Round 154: training_avg_loss=0.4199, training_avg_wrong_conf=0.6075
Round 156: training_avg_loss=0.4255, training_avg_wrong_conf=0.6108
Round 158: training_avg_loss=0.3708, training_avg_wrong_conf=0.6295
Round 160: training_avg_loss=0.3785, training_avg_wrong_conf=0.6238
Round 162: training_avg_loss=0.4010, training_avg_wrong_conf=0.6173
Round 164: training_avg_loss=0.4220, training_avg_wrong_conf=0.6271
Round 166: training_avg_loss=0.4381, training_avg_wrong_conf=0.6123
Round 168: training_avg_loss=0.3748, training_avg_wrong_conf=0.6238
Round 170: training_avg_loss=0.4539, training_avg_wrong_conf=0.6115
