Round 1: training_avg_loss=1.4893, training_avg_wrong_conf=0.2985
Round 2: training_avg_loss=1.2695, training_avg_wrong_conf=0.3311
Round 3: training_avg_loss=1.1169, training_avg_wrong_conf=0.3603
Round 4: training_avg_loss=0.9442, training_avg_wrong_conf=0.4192
Round 5: training_avg_loss=0.8341, training_avg_wrong_conf=0.4619
Round 6: training_avg_loss=0.8743, training_avg_wrong_conf=0.4959
Round 7: training_avg_loss=0.7711, training_avg_wrong_conf=0.5461
Round 8: training_avg_loss=0.7127, training_avg_wrong_conf=0.5712
Round 9: training_avg_loss=0.6664, training_avg_wrong_conf=0.5819
Round 10: training_avg_loss=0.6345, training_avg_wrong_conf=0.5884
Round 11: training_avg_loss=0.6067, training_avg_wrong_conf=0.5940
Round 12: training_avg_loss=0.5846, training_avg_wrong_conf=0.5993
Round 13: training_avg_loss=0.5637, training_avg_wrong_conf=0.6026
Round 14: training_avg_loss=0.5455, training_avg_wrong_conf=0.6055
Round 15: training_avg_loss=0.5296, training_avg_wrong_conf=0.6065
Round 16: training_avg_loss=0.5117, training_avg_wrong_conf=0.6077
Round 17: training_avg_loss=0.4966, training_avg_wrong_conf=0.6098
Round 18: training_avg_loss=0.4857, training_avg_wrong_conf=0.6097
Round 19: training_avg_loss=0.4731, training_avg_wrong_conf=0.6111
Round 20: training_avg_loss=0.4612, training_avg_wrong_conf=0.6125
Round 21: training_avg_loss=0.4521, training_avg_wrong_conf=0.6138
Round 22: training_avg_loss=0.4432, training_avg_wrong_conf=0.6137
Round 23: training_avg_loss=0.4373, training_avg_wrong_conf=0.6147
Round 24: training_avg_loss=0.4300, training_avg_wrong_conf=0.6154
Round 25: training_avg_loss=0.4220, training_avg_wrong_conf=0.6150
Round 26: training_avg_loss=0.4168, training_avg_wrong_conf=0.6166
Round 27: training_avg_loss=0.4095, training_avg_wrong_conf=0.6174
Round 28: training_avg_loss=0.4027, training_avg_wrong_conf=0.6196
Round 29: training_avg_loss=0.3967, training_avg_wrong_conf=0.6217
Round 30: training_avg_loss=0.3926, training_avg_wrong_conf=0.6247
Round 31: training_avg_loss=0.3899, training_avg_wrong_conf=0.6264
Round 32: training_avg_loss=0.3813, training_avg_wrong_conf=0.6296
Round 33: training_avg_loss=0.3800, training_avg_wrong_conf=0.6314
Round 34: training_avg_loss=0.3762, training_avg_wrong_conf=0.6342
Round 35: training_avg_loss=0.3723, training_avg_wrong_conf=0.6360
Round 36: training_avg_loss=0.3705, training_avg_wrong_conf=0.6405
Round 37: training_avg_loss=0.3662, training_avg_wrong_conf=0.6400
Round 38: training_avg_loss=0.3649, training_avg_wrong_conf=0.6416
Round 39: training_avg_loss=0.3612, training_avg_wrong_conf=0.6425
Round 40: training_avg_loss=0.3595, training_avg_wrong_conf=0.6442
Round 41: training_avg_loss=0.3584, training_avg_wrong_conf=0.6448
Round 42: training_avg_loss=0.3582, training_avg_wrong_conf=0.6469
Round 43: training_avg_loss=0.3568, training_avg_wrong_conf=0.6467
Round 44: training_avg_loss=0.3529, training_avg_wrong_conf=0.6466
Round 45: training_avg_loss=0.3516, training_avg_wrong_conf=0.6504
Round 46: training_avg_loss=0.3489, training_avg_wrong_conf=0.6491
Round 47: training_avg_loss=0.3483, training_avg_wrong_conf=0.6529
Round 48: training_avg_loss=0.3455, training_avg_wrong_conf=0.6510
Round 49: training_avg_loss=0.3451, training_avg_wrong_conf=0.6532
Round 50: training_avg_loss=0.3425, training_avg_wrong_conf=0.6535
Round 51: training_avg_loss=0.3428, training_avg_wrong_conf=0.6537
Round 52: training_avg_loss=0.3413, training_avg_wrong_conf=0.6547
Round 53: training_avg_loss=0.3398, training_avg_wrong_conf=0.6560
Round 54: training_avg_loss=0.3395, training_avg_wrong_conf=0.6550
Round 55: training_avg_loss=0.3399, training_avg_wrong_conf=0.6578
Round 56: training_avg_loss=0.3388, training_avg_wrong_conf=0.6566
Round 57: training_avg_loss=0.3381, training_avg_wrong_conf=0.6562
Round 58: training_avg_loss=0.3371, training_avg_wrong_conf=0.6567
Round 59: training_avg_loss=0.3369, training_avg_wrong_conf=0.6567
Round 60: training_avg_loss=0.3353, training_avg_wrong_conf=0.6582
Round 61: training_avg_loss=0.3357, training_avg_wrong_conf=0.6583
Round 62: training_avg_loss=0.3354, training_avg_wrong_conf=0.6583
Round 63: training_avg_loss=0.3354, training_avg_wrong_conf=0.6596
Round 64: training_avg_loss=0.3320, training_avg_wrong_conf=0.6559
Round 65: training_avg_loss=0.3317, training_avg_wrong_conf=0.6598
Round 66: training_avg_loss=0.3312, training_avg_wrong_conf=0.6581
Round 67: training_avg_loss=0.3303, training_avg_wrong_conf=0.6599
Round 68: training_avg_loss=0.3310, training_avg_wrong_conf=0.6585
Round 69: training_avg_loss=0.3317, training_avg_wrong_conf=0.6605
Round 70: training_avg_loss=0.3313, training_avg_wrong_conf=0.6612
Round 71: training_avg_loss=0.3292, training_avg_wrong_conf=0.6600
Round 72: training_avg_loss=0.3300, training_avg_wrong_conf=0.6602
Round 73: training_avg_loss=0.3288, training_avg_wrong_conf=0.6581
Round 74: training_avg_loss=0.3300, training_avg_wrong_conf=0.6585
Round 75: training_avg_loss=0.3284, training_avg_wrong_conf=0.6592
Round 76: training_avg_loss=0.3277, training_avg_wrong_conf=0.6605
Round 77: training_avg_loss=0.3277, training_avg_wrong_conf=0.6612
Round 78: training_avg_loss=0.3263, training_avg_wrong_conf=0.6609
Round 79: training_avg_loss=0.3279, training_avg_wrong_conf=0.6612
Round 80: training_avg_loss=0.3267, training_avg_wrong_conf=0.6603
Round 81: training_avg_loss=0.3251, training_avg_wrong_conf=0.6596
Round 82: training_avg_loss=0.3267, training_avg_wrong_conf=0.6596
Round 83: training_avg_loss=0.3259, training_avg_wrong_conf=0.6602
Round 84: training_avg_loss=0.3260, training_avg_wrong_conf=0.6605
Round 85: training_avg_loss=0.3257, training_avg_wrong_conf=0.6611
Round 86: training_avg_loss=0.3255, training_avg_wrong_conf=0.6593
Round 87: training_avg_loss=0.3256, training_avg_wrong_conf=0.6617
Round 88: training_avg_loss=0.3232, training_avg_wrong_conf=0.6606
