Round 1: loss=1.6854, metrics={'accuracy': 0.5662430434421464}
Round 2: loss=1.3013, metrics={'accuracy': 0.6139214220450203}
Round 3: loss=1.1418, metrics={'accuracy': 0.6455685688180082}
Round 4: loss=1.0637, metrics={'accuracy': 0.6732286734778636}
Round 5: loss=1.0205, metrics={'accuracy': 0.6929146939114544}
Round 6: loss=3.5841, metrics={'accuracy': 0.36024586759697647}
Round 7: loss=5.8430, metrics={'accuracy': 0.28523963784367473}
Round 8: loss=6.9422, metrics={'accuracy': 0.289309743334164}
Round 9: loss=7.4995, metrics={'accuracy': 0.297948334579284}
Round 10: loss=7.8274, metrics={'accuracy': 0.3050917850319794}
Round 11: loss=8.0574, metrics={'accuracy': 0.31489326356009634}
Round 12: loss=8.2045, metrics={'accuracy': 0.3277680870504195}
Round 13: loss=8.2911, metrics={'accuracy': 0.33682199518232414}
Round 14: loss=8.3508, metrics={'accuracy': 0.34595896669158566}
Round 15: loss=8.4101, metrics={'accuracy': 0.3525209735027826}
Round 16: loss=8.4563, metrics={'accuracy': 0.3562588254838442}
Round 17: loss=8.4735, metrics={'accuracy': 0.3614087548799734}
Round 18: loss=8.4958, metrics={'accuracy': 0.3655619237478196}
Round 19: loss=8.5052, metrics={'accuracy': 0.3699642827477365}
Round 20: loss=8.5207, metrics={'accuracy': 0.3731206910872996}
