Round 1: training_avg_loss=1.4893, training_avg_wrong_conf=0.2985
Round 2: training_avg_loss=1.2695, training_avg_wrong_conf=0.3311
Round 3: training_avg_loss=1.1169, training_avg_wrong_conf=0.3603
Round 4: training_avg_loss=0.9442, training_avg_wrong_conf=0.4192
Round 5: training_avg_loss=0.8340, training_avg_wrong_conf=0.4620
Round 6: training_avg_loss=0.7451, training_avg_wrong_conf=0.5102
Round 7: training_avg_loss=0.6785, training_avg_wrong_conf=0.5510
Round 8: training_avg_loss=0.6343, training_avg_wrong_conf=0.5717
Round 9: training_avg_loss=0.6065, training_avg_wrong_conf=0.5820
Round 10: training_avg_loss=0.5835, training_avg_wrong_conf=0.5872
Round 11: training_avg_loss=0.5661, training_avg_wrong_conf=0.5911
Round 12: training_avg_loss=0.5489, training_avg_wrong_conf=0.5917
Round 13: training_avg_loss=0.5347, training_avg_wrong_conf=0.5913
Round 14: training_avg_loss=0.5246, training_avg_wrong_conf=0.5907
Round 15: training_avg_loss=0.5181, training_avg_wrong_conf=0.5886
Round 16: training_avg_loss=0.5097, training_avg_wrong_conf=0.5858
Round 17: training_avg_loss=0.5041, training_avg_wrong_conf=0.5858
Round 18: training_avg_loss=0.4980, training_avg_wrong_conf=0.5827
Round 19: training_avg_loss=0.4936, training_avg_wrong_conf=0.5828
Round 20: training_avg_loss=0.4898, training_avg_wrong_conf=0.5827
Round 21: training_avg_loss=0.4849, training_avg_wrong_conf=0.5807
Round 22: training_avg_loss=0.4797, training_avg_wrong_conf=0.5838
Round 23: training_avg_loss=0.4734, training_avg_wrong_conf=0.5831
Round 24: training_avg_loss=0.4694, training_avg_wrong_conf=0.5853
Round 25: training_avg_loss=0.4631, training_avg_wrong_conf=0.5847
Round 26: training_avg_loss=0.4581, training_avg_wrong_conf=0.5882
Round 27: training_avg_loss=0.4536, training_avg_wrong_conf=0.5903
Round 28: training_avg_loss=0.4517, training_avg_wrong_conf=0.5923
Round 29: training_avg_loss=0.4473, training_avg_wrong_conf=0.5945
Round 30: training_avg_loss=0.4434, training_avg_wrong_conf=0.5956
Round 31: training_avg_loss=0.4413, training_avg_wrong_conf=0.5974
Round 32: training_avg_loss=0.4384, training_avg_wrong_conf=0.5990
Round 33: training_avg_loss=0.4342, training_avg_wrong_conf=0.6007
Round 34: training_avg_loss=0.4344, training_avg_wrong_conf=0.6024
Round 35: training_avg_loss=0.4301, training_avg_wrong_conf=0.6042
Round 36: training_avg_loss=0.4289, training_avg_wrong_conf=0.6042
Round 37: training_avg_loss=0.4257, training_avg_wrong_conf=0.6057
Round 38: training_avg_loss=0.4228, training_avg_wrong_conf=0.6044
Round 39: training_avg_loss=0.4205, training_avg_wrong_conf=0.6066
Round 40: training_avg_loss=0.4175, training_avg_wrong_conf=0.6072
Round 41: training_avg_loss=0.4150, training_avg_wrong_conf=0.6085
Round 42: training_avg_loss=0.4124, training_avg_wrong_conf=0.6098
Round 43: training_avg_loss=0.4108, training_avg_wrong_conf=0.6098
Round 44: training_avg_loss=0.4084, training_avg_wrong_conf=0.6100
Round 45: training_avg_loss=0.4045, training_avg_wrong_conf=0.6124
Round 46: training_avg_loss=0.4036, training_avg_wrong_conf=0.6137
Round 47: training_avg_loss=0.4018, training_avg_wrong_conf=0.6144
Round 48: training_avg_loss=0.3995, training_avg_wrong_conf=0.6142
Round 49: training_avg_loss=0.3976, training_avg_wrong_conf=0.6142
Round 50: training_avg_loss=0.3959, training_avg_wrong_conf=0.6140
Round 51: training_avg_loss=0.3942, training_avg_wrong_conf=0.6156
Round 52: training_avg_loss=0.3910, training_avg_wrong_conf=0.6165
Round 53: training_avg_loss=0.3905, training_avg_wrong_conf=0.6172
Round 54: training_avg_loss=0.3885, training_avg_wrong_conf=0.6195
Round 55: training_avg_loss=0.3879, training_avg_wrong_conf=0.6190
Round 56: training_avg_loss=0.3873, training_avg_wrong_conf=0.6193
Round 57: training_avg_loss=0.3851, training_avg_wrong_conf=0.6197
Round 58: training_avg_loss=0.3839, training_avg_wrong_conf=0.6196
Round 59: training_avg_loss=0.3835, training_avg_wrong_conf=0.6201
Round 60: training_avg_loss=0.3817, training_avg_wrong_conf=0.6196
Round 61: training_avg_loss=0.3806, training_avg_wrong_conf=0.6208
Round 62: training_avg_loss=0.3799, training_avg_wrong_conf=0.6218
Round 63: training_avg_loss=0.3783, training_avg_wrong_conf=0.6210
Round 64: training_avg_loss=0.3777, training_avg_wrong_conf=0.6220
Round 65: training_avg_loss=0.3765, training_avg_wrong_conf=0.6232
Round 66: training_avg_loss=0.3751, training_avg_wrong_conf=0.6227
Round 67: training_avg_loss=0.3757, training_avg_wrong_conf=0.6238
Round 68: training_avg_loss=0.3746, training_avg_wrong_conf=0.6242
Round 69: training_avg_loss=0.3719, training_avg_wrong_conf=0.6258
Round 70: training_avg_loss=0.3700, training_avg_wrong_conf=0.6260
Round 71: training_avg_loss=0.3707, training_avg_wrong_conf=0.6247
Round 72: training_avg_loss=0.3703, training_avg_wrong_conf=0.6232
Round 73: training_avg_loss=0.3676, training_avg_wrong_conf=0.6243
Round 74: training_avg_loss=0.3668, training_avg_wrong_conf=0.6268
Round 75: training_avg_loss=0.3663, training_avg_wrong_conf=0.6265
Round 76: training_avg_loss=0.3647, training_avg_wrong_conf=0.6257
Round 77: training_avg_loss=0.3642, training_avg_wrong_conf=0.6281
Round 78: training_avg_loss=0.3636, training_avg_wrong_conf=0.6280
Round 79: training_avg_loss=0.3627, training_avg_wrong_conf=0.6279
Round 80: training_avg_loss=0.3627, training_avg_wrong_conf=0.6285
Round 81: training_avg_loss=0.3618, training_avg_wrong_conf=0.6284
Round 82: training_avg_loss=0.3610, training_avg_wrong_conf=0.6291
Round 83: training_avg_loss=0.3603, training_avg_wrong_conf=0.6286
Round 84: training_avg_loss=0.3599, training_avg_wrong_conf=0.6278
Round 85: training_avg_loss=0.3591, training_avg_wrong_conf=0.6297
Round 86: training_avg_loss=0.3586, training_avg_wrong_conf=0.6280
Round 87: training_avg_loss=0.3582, training_avg_wrong_conf=0.6290
Round 88: training_avg_loss=0.3572, training_avg_wrong_conf=0.6285
