Round 1: loss=1.6854, metrics={'accuracy': 0.5662430434421464}
Round 2: loss=1.3013, metrics={'accuracy': 0.6139214220450203}
Round 3: loss=1.1418, metrics={'accuracy': 0.6455685688180082}
Round 4: loss=1.0637, metrics={'accuracy': 0.6732286734778636}
Round 5: loss=1.0204, metrics={'accuracy': 0.6928316305340975}
Round 6: loss=0.9895, metrics={'accuracy': 0.7061217709112052}
Round 7: loss=0.9633, metrics={'accuracy': 0.7159232494393222}
Round 8: loss=0.9366, metrics={'accuracy': 0.7217376858543069}
Round 9: loss=0.9079, metrics={'accuracy': 0.7273029321372207}
Round 10: loss=0.8760, metrics={'accuracy': 0.7317052911371377}
Round 11: loss=0.8415, metrics={'accuracy': 0.7370213472879807}
Round 12: loss=0.8070, metrics={'accuracy': 0.7417559597973253}
Round 13: loss=0.7722, metrics={'accuracy': 0.7490655370047347}
Round 14: loss=0.7386, metrics={'accuracy': 0.7565412409668577}
Round 15: loss=0.7062, metrics={'accuracy': 0.7641830716836947}
Round 16: loss=0.6751, metrics={'accuracy': 0.7724063460420301}
Round 17: loss=0.6460, metrics={'accuracy': 0.7813771907965777}
Round 18: loss=0.6184, metrics={'accuracy': 0.7896004651549132}
Round 19: loss=0.5927, metrics={'accuracy': 0.7979898662679624}
Round 20: loss=0.5694, metrics={'accuracy': 0.8076252180413656}
