Round 1: loss=1.6854, metrics={'accuracy': 0.5662430434421464}
Round 2: loss=1.3013, metrics={'accuracy': 0.6139214220450203}
Round 3: loss=1.1418, metrics={'accuracy': 0.6455685688180082}
Round 4: loss=1.0637, metrics={'accuracy': 0.6732286734778636}
Round 5: loss=1.0204, metrics={'accuracy': 0.6929146939114544}
Round 6: loss=0.9896, metrics={'accuracy': 0.7061217709112052}
Round 7: loss=0.9634, metrics={'accuracy': 0.7159232494393222}
Round 8: loss=0.9366, metrics={'accuracy': 0.7217376858543069}
Round 9: loss=0.9080, metrics={'accuracy': 0.7273029321372207}
Round 10: loss=0.8758, metrics={'accuracy': 0.7317052911371377}
Round 11: loss=0.8414, metrics={'accuracy': 0.7370213472879807}
Round 12: loss=0.8069, metrics={'accuracy': 0.7417559597973253}
Round 13: loss=0.7720, metrics={'accuracy': 0.7491486003820915}
Round 14: loss=0.7382, metrics={'accuracy': 0.7565412409668577}
Round 15: loss=0.7056, metrics={'accuracy': 0.7645153251931224}
Round 16: loss=0.6745, metrics={'accuracy': 0.7726555361741009}
Round 17: loss=0.6456, metrics={'accuracy': 0.7813771907965777}
Round 18: loss=0.6181, metrics={'accuracy': 0.7896004651549132}
Round 19: loss=0.5925, metrics={'accuracy': 0.7982390564000332}
Round 20: loss=0.5694, metrics={'accuracy': 0.8077913447960794}
