Round 1: avg_loss=2.8638, avg_accuracy=0.2462
Round 2: avg_loss=2.7543, avg_accuracy=0.3311
Round 3: avg_loss=2.1350, avg_accuracy=0.4792
Round 4: avg_loss=1.9404, avg_accuracy=0.5399
Round 5: avg_loss=2.1645, avg_accuracy=0.5195
Round 6: avg_loss=2.1617, avg_accuracy=0.5360
Round 7: avg_loss=1.5723, avg_accuracy=0.6614
Round 8: avg_loss=1.9395, avg_accuracy=0.6403
Round 9: avg_loss=1.6564, avg_accuracy=0.6583
Round 10: avg_loss=1.3741, avg_accuracy=0.6843
Round 11: avg_loss=1.4602, avg_accuracy=0.7081
Round 12: avg_loss=1.3660, avg_accuracy=0.7221
Round 13: avg_loss=1.1755, avg_accuracy=0.7148
Round 14: avg_loss=1.2551, avg_accuracy=0.7042
Round 15: avg_loss=0.9286, avg_accuracy=0.7698
Round 16: avg_loss=0.8814, avg_accuracy=0.7642
Round 17: avg_loss=0.9648, avg_accuracy=0.7641
Round 18: avg_loss=1.0260, avg_accuracy=0.7472
Round 19: avg_loss=0.9174, avg_accuracy=0.7671
Round 20: avg_loss=1.0168, avg_accuracy=0.7382
