Round 1: avg_loss=2.9038, avg_accuracy=0.2454
Round 2: avg_loss=2.7318, avg_accuracy=0.3350
Round 3: avg_loss=2.2216, avg_accuracy=0.4514
Round 4: avg_loss=1.9106, avg_accuracy=0.5519
Round 5: avg_loss=2.1675, avg_accuracy=0.5246
Round 6: avg_loss=2.2077, avg_accuracy=0.5347
Round 7: avg_loss=1.6012, avg_accuracy=0.6591
Round 8: avg_loss=1.9683, avg_accuracy=0.6428
Round 9: avg_loss=1.6591, avg_accuracy=0.6629
Round 10: avg_loss=1.3868, avg_accuracy=0.6850
Round 11: avg_loss=1.4819, avg_accuracy=0.7077
Round 12: avg_loss=1.3780, avg_accuracy=0.7248
Round 13: avg_loss=1.1902, avg_accuracy=0.7123
Round 14: avg_loss=1.2545, avg_accuracy=0.7044
Round 15: avg_loss=0.9309, avg_accuracy=0.7681
Round 16: avg_loss=0.8880, avg_accuracy=0.7641
Round 17: avg_loss=0.9633, avg_accuracy=0.7637
Round 18: avg_loss=1.0319, avg_accuracy=0.7470
Round 19: avg_loss=0.9142, avg_accuracy=0.7673
Round 20: avg_loss=1.0018, avg_accuracy=0.7406
