Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6344
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6529
Round 6: training_avg_loss=0.1100, training_avg_wrong_conf=0.6391
Round 7: training_avg_loss=0.0595, training_avg_wrong_conf=0.6753
Round 8: training_avg_loss=0.0521, training_avg_wrong_conf=0.6723
Round 9: training_avg_loss=0.0548, training_avg_wrong_conf=0.6945
Round 10: training_avg_loss=0.0637, training_avg_wrong_conf=0.6853
Round 11: training_avg_loss=0.0449, training_avg_wrong_conf=0.7019
Round 12: training_avg_loss=0.0393, training_avg_wrong_conf=0.6894
Round 13: training_avg_loss=0.0434, training_avg_wrong_conf=0.7080
Round 14: training_avg_loss=0.0511, training_avg_wrong_conf=0.7006
Round 15: training_avg_loss=0.0364, training_avg_wrong_conf=0.7148
Round 16: training_avg_loss=0.0242, training_avg_wrong_conf=0.7274
Round 17: training_avg_loss=0.0419, training_avg_wrong_conf=0.7246
Round 18: training_avg_loss=0.0354, training_avg_wrong_conf=0.6891
Round 19: training_avg_loss=0.0326, training_avg_wrong_conf=0.7195
Round 20: training_avg_loss=0.0309, training_avg_wrong_conf=0.6945
Round 21: training_avg_loss=0.0322, training_avg_wrong_conf=0.7309
Round 22: training_avg_loss=0.0223, training_avg_wrong_conf=0.7143
Round 23: training_avg_loss=0.0347, training_avg_wrong_conf=0.7266
Round 24: training_avg_loss=0.0178, training_avg_wrong_conf=0.7033
Round 25: training_avg_loss=0.0391, training_avg_wrong_conf=0.7317
Round 26: training_avg_loss=0.0364, training_avg_wrong_conf=0.7193
Round 27: training_avg_loss=0.0264, training_avg_wrong_conf=0.7336
Round 28: training_avg_loss=0.0143, training_avg_wrong_conf=0.7163
Round 29: training_avg_loss=0.0347, training_avg_wrong_conf=0.7367
Round 30: training_avg_loss=0.0316, training_avg_wrong_conf=0.7174
Round 31: training_avg_loss=0.0244, training_avg_wrong_conf=0.7420
Round 32: training_avg_loss=0.0162, training_avg_wrong_conf=0.7209
Round 33: training_avg_loss=0.0269, training_avg_wrong_conf=0.7466
Round 34: training_avg_loss=0.0232, training_avg_wrong_conf=0.7375
Round 35: training_avg_loss=0.0229, training_avg_wrong_conf=0.7559
Round 36: training_avg_loss=0.0174, training_avg_wrong_conf=0.7307
Round 37: training_avg_loss=0.0237, training_avg_wrong_conf=0.7505
Round 38: training_avg_loss=0.0233, training_avg_wrong_conf=0.7223
Round 39: training_avg_loss=0.0226, training_avg_wrong_conf=0.7509
Round 40: training_avg_loss=0.0124, training_avg_wrong_conf=0.7332
Round 41: training_avg_loss=0.0238, training_avg_wrong_conf=0.7548
Round 42: training_avg_loss=0.0118, training_avg_wrong_conf=0.7289
Round 43: training_avg_loss=0.0254, training_avg_wrong_conf=0.7587
Round 44: training_avg_loss=0.0144, training_avg_wrong_conf=0.7376
Round 45: training_avg_loss=0.0222, training_avg_wrong_conf=0.7524
Round 46: training_avg_loss=0.0138, training_avg_wrong_conf=0.7285
Round 47: training_avg_loss=0.0216, training_avg_wrong_conf=0.7540
Round 48: training_avg_loss=0.0121, training_avg_wrong_conf=0.7345
Round 49: training_avg_loss=0.0218, training_avg_wrong_conf=0.7540
Round 50: training_avg_loss=0.0157, training_avg_wrong_conf=0.7472
Round 51: training_avg_loss=0.0205, training_avg_wrong_conf=0.7539
Round 52: training_avg_loss=0.0203, training_avg_wrong_conf=0.7135
Round 53: training_avg_loss=0.0181, training_avg_wrong_conf=0.7609
Round 54: training_avg_loss=0.0145, training_avg_wrong_conf=0.7579
