Round 1: training_avg_loss=0.4168, training_avg_wrong_conf=0.3992
Round 2: training_avg_loss=0.1688, training_avg_wrong_conf=0.5425
Round 3: training_avg_loss=0.1177, training_avg_wrong_conf=0.6054
Round 4: training_avg_loss=0.0975, training_avg_wrong_conf=0.6344
Round 5: training_avg_loss=0.0850, training_avg_wrong_conf=0.6529
Round 6: training_avg_loss=0.0759, training_avg_wrong_conf=0.6658
Round 7: training_avg_loss=0.0686, training_avg_wrong_conf=0.6750
Round 8: training_avg_loss=0.0627, training_avg_wrong_conf=0.6793
Round 9: training_avg_loss=0.0577, training_avg_wrong_conf=0.6834
Round 10: training_avg_loss=0.0534, training_avg_wrong_conf=0.6887
Round 11: training_avg_loss=0.0498, training_avg_wrong_conf=0.6900
Round 12: training_avg_loss=0.0467, training_avg_wrong_conf=0.6949
Round 13: training_avg_loss=0.0439, training_avg_wrong_conf=0.6973
Round 14: training_avg_loss=0.0415, training_avg_wrong_conf=0.7014
Round 15: training_avg_loss=0.0394, training_avg_wrong_conf=0.7041
Round 16: training_avg_loss=0.0374, training_avg_wrong_conf=0.7087
Round 17: training_avg_loss=0.0357, training_avg_wrong_conf=0.7111
Round 18: training_avg_loss=0.0342, training_avg_wrong_conf=0.7148
Round 19: training_avg_loss=0.0328, training_avg_wrong_conf=0.7170
Round 20: training_avg_loss=0.0316, training_avg_wrong_conf=0.7178
Round 21: training_avg_loss=0.0304, training_avg_wrong_conf=0.7186
Round 22: training_avg_loss=0.0294, training_avg_wrong_conf=0.7225
Round 23: training_avg_loss=0.0285, training_avg_wrong_conf=0.7257
Round 24: training_avg_loss=0.0276, training_avg_wrong_conf=0.7274
Round 25: training_avg_loss=0.0268, training_avg_wrong_conf=0.7295
Round 26: training_avg_loss=0.0261, training_avg_wrong_conf=0.7297
Round 27: training_avg_loss=0.0254, training_avg_wrong_conf=0.7321
Round 28: training_avg_loss=0.0248, training_avg_wrong_conf=0.7332
Round 29: training_avg_loss=0.0242, training_avg_wrong_conf=0.7342
Round 30: training_avg_loss=0.0236, training_avg_wrong_conf=0.7352
Round 31: training_avg_loss=0.0231, training_avg_wrong_conf=0.7357
Round 32: training_avg_loss=0.0226, training_avg_wrong_conf=0.7371
Round 33: training_avg_loss=0.0222, training_avg_wrong_conf=0.7383
Round 34: training_avg_loss=0.0217, training_avg_wrong_conf=0.7403
Round 35: training_avg_loss=0.0213, training_avg_wrong_conf=0.7425
Round 36: training_avg_loss=0.0209, training_avg_wrong_conf=0.7434
Round 37: training_avg_loss=0.0206, training_avg_wrong_conf=0.7435
Round 38: training_avg_loss=0.0202, training_avg_wrong_conf=0.7436
Round 39: training_avg_loss=0.0199, training_avg_wrong_conf=0.7455
Round 40: training_avg_loss=0.0196, training_avg_wrong_conf=0.7456
Round 41: training_avg_loss=0.0193, training_avg_wrong_conf=0.7464
Round 42: training_avg_loss=0.0190, training_avg_wrong_conf=0.7491
Round 43: training_avg_loss=0.0188, training_avg_wrong_conf=0.7504
Round 44: training_avg_loss=0.0185, training_avg_wrong_conf=0.7506
Round 45: training_avg_loss=0.0183, training_avg_wrong_conf=0.7550
Round 46: training_avg_loss=0.0180, training_avg_wrong_conf=0.7553
Round 47: training_avg_loss=0.0178, training_avg_wrong_conf=0.7566
Round 48: training_avg_loss=0.0176, training_avg_wrong_conf=0.7597
Round 49: training_avg_loss=0.0174, training_avg_wrong_conf=0.7614
Round 50: training_avg_loss=0.0172, training_avg_wrong_conf=0.7625
Round 51: training_avg_loss=0.0170, training_avg_wrong_conf=0.7640
Round 52: training_avg_loss=0.0168, training_avg_wrong_conf=0.7643
Round 53: training_avg_loss=0.0166, training_avg_wrong_conf=0.7633
Round 54: training_avg_loss=0.0165, training_avg_wrong_conf=0.7635
